"HMK.set.name","List.num","Gene.num","Vertice.num","Edge.num","MaxD","MaxD.gene","MaxB","MaxB.gene","MaxC","MaxC.gene","PCC.DB","PCC.DC","PCC.BC","Clust.Coeff.Global","Clust.Coeff.Average","Diameter","Mean.Distance","Max.Cliq.num","Max.Cliq.D","KEGG.z.max","KEGG.z.mean","KEGG.z.sd","BP.z.max","BP.z.mean","BP.z.sd","CC.z.max","CC.z.mean","CC.z.sd","MF.z.max","MF.z.mean","MF.z.sd"
"HALLMARK_PANCREAS_BETA_CELLS","40","39","20","20","5","FOXA2","39","FOXA2","0.00561797752808989","FOXA2","0.813192592888078","0.076896124412867","0.474357849290745","0.193548387096774","0.397435897435897","5","2.32911392405063","2","3","25.044","9.2048","6.154603964152","28.637","19.4061","4.90397443010372","23.04","11.8886","4.93849439944335","23.05","15.6733","3.78659281177977"
"HALLMARK_PEROXISOME","104","103","72","142","27","PEX5","1099.57584973506","PEX5","0.00279329608938547","PEX5","0.885165460683009","0.424226763233772","0.319262342024213","0.219959266802444","0.365376975562161","8","3.18688803746275","1","6","27.134","10.3775","5.93559979651968","27.461","20.2875","4.16471397577313","28.643","18.4537","6.94090674591984","23.906","15.9886","4.50697516695572"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","105","104","99","463","39","EGFR","803.963135403752","EGFR","0.00613496932515337","EGFR","0.880290088574505","0.891601044950359","0.677085844452567","0.271970397779834","0.39037410510019","6","2.40197897340754","3","7","33.228","25.9542","3.8473032922064","105.571","35.5006","24.824277204203","32.46","18.3582","7.38236017363914","106.482","38.223","27.3177947865489"
"HALLMARK_PROTEIN_SECRETION","96","96","81","442","34","EGFR","802.202290970555","EGFR","0.00735294117647059","EGFR","0.657588927057652","0.930062804253427","0.575336271680054","0.516637240255331","0.515148493227229","5","2.32037037037037","1","13","59.573","26.0812","12.6267064307716","75.723","48.5013","12.2743503385447","67.963","49.323","9.62310042438391","53.439","28.9751","12.7511464534675"
"HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY","49","46","26","46","9","PRDX2,PRDX4,TXN","37.302380952381","TXN","0.00387596899224806","PRDX2,PRDX4,TXN","0.830890967136911","0.613093169483847","0.465737654680145","0.468292682926829","0.556390977443609","5","1.99315068493151","2","5","21.443","15.9244","2.93376255193073","32.898","17.5589","7.18020243369843","28.081","15.1037","5.74051790249703","29.216","14.2097","5.58741027370164"
"HALLMARK_SPERMATOGENESIS","135","130","70","185","29","HSPA2","799.513492063492","HSPA2","0.00384615384615385","HSPA2","0.775842722024085","0.5433425587572","0.362280847584063","0.332423580786026","0.511512153917228","8","2.94997806055287","1","7","9.722","7.7018","0.965032734044694","14.944","10.1875","1.80054888236276","11.814","8.4968","1.27426988245557","14.1","9.0415","2.4159875482571"
"HALLMARK_TGF_BETA_SIGNALING","54","54","47","174","24","SMAD3","274.33626485833","SMAD3","0.0144927536231884","SMAD3","0.851702014169663","0.95575357587694","0.788459073856908","0.394657258064516","0.55457844259572","4","2.14708603145236","1","8","36.326","20.8498","6.38290375926192","42.652","34.3359","3.27809336352704","31.445","20.0445","5.25316436382237","36.895","32.1779","2.66560830872721"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","200","198","144","390","45","RELA","3019.44005272617","RELA","0.000715819613457409","RELA","0.883972962718752","0.282303538334207","0.176217250570012","0.242563887725178","0.437895634220353","6","2.90747795798411","1","8","32.845","29.504","2.66033861670945","31.948","25.6495","3.22104500813702","18.641","15.2445","1.65470106397231","23.409","19.3929","2.68002464540907"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","113","109","87","401","34","HSPA5","915.682569036388","HSPA5","0.00680272108843537","HSPA5","0.689463150059645","0.860562606028774","0.570351871716337","0.426240652617267","0.555945484801034","6","2.54477412456562","10","9","23.655","12.7707","6.40328277005891","31.834","24.6842","4.87486949796835","24.479","20.4236","2.82639543510025","22.384","18.3061","4.01689657571613"
"HALLMARK_UV_RESPONSE_DN","144","140","106","198","25","SMAD3","1727.52932537019","SMAD3","0.0015748031496063","SMAD3","0.880828891633366","0.396612451496982","0.291697293429009","0.144873699851412","0.261873504462514","8","3.37337473316515","9","4","24.283","21.0276","1.96233082497999","22.327","19.1585","1.50337740142358","31.386","17.2235","5.10460093662788","28.27","19.74","3.68982348267954"
"HALLMARK_UV_RESPONSE_UP","158","153","103","287","40","HSPA2","1104.26050300323","HSPA2","0.000839630562552477","HSPA2","0.808083867179276","0.318986222643507","0.2022410124701","0.312979189485214","0.519423218823374","8","2.83866448750876","1","9","10.499","7.7746","1.29102674040643","22.35","13.1109","5.12871375362933","31.591","11.2874","7.44967638670746","14.451","7.9239","2.39287086757495"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","42","41","36","94","16","NOTCH1","162.390476190476","NOTCH1","0.00813008130081301","NOTCH1","0.81562831745422","0.552622785565231","0.379260299526161","0.329428989751098","0.493168868168868","4","2.24733096085409","1","5","26.747","17.3166","4.56570895553655","31.591","22.4072","4.16973470512347","17.138","14.1601","1.76468596198996","31.591","21.6691","5.46513400161017"
"HALLMARK_XENOBIOTIC_METABOLISM","200","197","143","300","69","HNF4A","7472.78568031125","HNF4A","0.00189753320683112","HNF4A","0.898302194596524","0.328601196804873","0.269066224460021","0.227326545110111","0.416584990657505","7","3.06949650491338","1","10","39.389","29.9754","8.25101056706255","47.245","39.2568","6.25195872951474","53.678","20.6449","12.2935641830277","59.328","45.2106","12.9459493725086"
