gene,GO.term,type
RNF125,GO:0000139,C
RNF13,GO:0000139,C
RNF175,GO:0000139,C
RNF24,GO:0000139,C
ROCK1,GO:0000139,C
RTN3,GO:0000139,C
RXYLT1,GO:0000139,C
SACM1L,GO:0000139,C
SAR1A,GO:0000139,C
SCAMP1,GO:0000139,C
SCAMP2,GO:0000139,C
SCAMP3,GO:0000139,C
SCAMP4,GO:0000139,C
SCAMP5,GO:0000139,C
SCAP,GO:0000139,C
SCARA3,GO:0000139,C
SCARB2,GO:0000139,C
SCOC,GO:0000139,C
SEC13,GO:0000139,C
SEC16A,GO:0000139,C
SEC16B,GO:0000139,C
SEC22B,GO:0000139,C
SEC23A,GO:0000139,C
SEC23B,GO:0000139,C
SEC23IP,GO:0000139,C
SEC24A,GO:0000139,C
SEC24B,GO:0000139,C
SEC24C,GO:0000139,C
SEC24D,GO:0000139,C
SEC31A,GO:0000139,C
SERINC3,GO:0000139,C
SERPINA1,GO:0000139,C
SGMS1,GO:0000139,C
SH3GL2,GO:0000139,C
SH3GLB1,GO:0000139,C
SLC16A13,GO:0000139,C
SLC2A1,GO:0000139,C
SLC30A6,GO:0000139,C
SLC33A1,GO:0000139,C
SLC35A1,GO:0000139,C
SLC35A2,GO:0000139,C
SLC35A3,GO:0000139,C
SLC35A4,GO:0000139,C
SLC35A5,GO:0000139,C
SLC35B2,GO:0000139,C
SLC35B3,GO:0000139,C
SLC35B4,GO:0000139,C
SLC35D2,GO:0000139,C
SLC50A1,GO:0000139,C
SLC9A7,GO:0000139,C
SLC9A8,GO:0000139,C
SMPD3,GO:0000139,C
SMPD4,GO:0000139,C
SNAP29,GO:0000139,C
SNAPIN,GO:0000139,C
SORL1,GO:0000139,C
SPPL2B,GO:0000139,C
SREBF1,GO:0000139,C
SREBF2,GO:0000139,C
ST3GAL1,GO:0000139,C
ST3GAL2,GO:0000139,C
ST3GAL3,GO:0000139,C
ST3GAL4,GO:0000139,C
ST3GAL5,GO:0000139,C
ST3GAL6,GO:0000139,C
ST6GAL1,GO:0000139,C
ST6GAL2,GO:0000139,C
ST6GALNAC1,GO:0000139,C
ST6GALNAC2,GO:0000139,C
ST6GALNAC3,GO:0000139,C
ST6GALNAC4,GO:0000139,C
ST6GALNAC5,GO:0000139,C
ST6GALNAC6,GO:0000139,C
ST8SIA1,GO:0000139,C
ST8SIA2,GO:0000139,C
ST8SIA4,GO:0000139,C
ST8SIA5,GO:0000139,C
ST8SIA6,GO:0000139,C
STEAP4,GO:0000139,C
STK25,GO:0000139,C
STK26,GO:0000139,C
STX12,GO:0000139,C
STX16,GO:0000139,C
STX18,GO:0000139,C
STX5,GO:0000139,C
STX6,GO:0000139,C
SURF4,GO:0000139,C
SVIP,GO:0000139,C
SYBU,GO:0000139,C
TAPBP,GO:0000139,C
TAPBPL,GO:0000139,C
TFG,GO:0000139,C
TGFA,GO:0000139,C
TLR3,GO:0000139,C
TLR7,GO:0000139,C
TLR8,GO:0000139,C
TLR9,GO:0000139,C
TMBIM4,GO:0000139,C
TMCO1,GO:0000139,C
TMED10,GO:0000139,C
TMED2,GO:0000139,C
TMED3,GO:0000139,C
TMED7,GO:0000139,C
TMED9,GO:0000139,C
TMEM115,GO:0000139,C
TMEM132A,GO:0000139,C
TMEM167A,GO:0000139,C
TMEM167B,GO:0000139,C
TMEM50B,GO:0000139,C
TMEM59,GO:0000139,C
TMEM59L,GO:0000139,C
TMEM87B,GO:0000139,C
TMF1,GO:0000139,C
TNFRSF1A,GO:0000139,C
TNKS2,GO:0000139,C
TNKS,GO:0000139,C
TPST1,GO:0000139,C
TPST2,GO:0000139,C
TPTE2,GO:0000139,C
TRAPPC10,GO:0000139,C
TRAPPC1,GO:0000139,C
TRAPPC2,GO:0000139,C
TRAPPC2L,GO:0000139,C
TRAPPC3,GO:0000139,C
TRAPPC4,GO:0000139,C
TRAPPC5,GO:0000139,C
TRAPPC6A,GO:0000139,C
TRAPPC6B,GO:0000139,C
TRAPPC9,GO:0000139,C
TRIM23,GO:0000139,C
TRIP11,GO:0000139,C
UGCG,GO:0000139,C
UNC93B1,GO:0000139,C
USO1,GO:0000139,C
UST,GO:0000139,C
VAC14,GO:0000139,C
VAMP4,GO:0000139,C
VAPA,GO:0000139,C
VAPB,GO:0000139,C
VPS45,GO:0000139,C
VTI1A,GO:0000139,C
WHAMM,GO:0000139,C
WIPI1,GO:0000139,C
WLS,GO:0000139,C
XYLT1,GO:0000139,C
XYLT2,GO:0000139,C
YIPF6,GO:0000139,C
YKT6,GO:0000139,C
ZDHHC13,GO:0000139,C
ZDHHC15,GO:0000139,C
ZDHHC17,GO:0000139,C
ZDHHC21,GO:0000139,C
ZDHHC3,GO:0000139,C
ZDHHC7,GO:0000139,C
ANKIB1,GO:0000151,C
ARIH1,GO:0000151,C
ARIH2,GO:0000151,C
ARMC8,GO:0000151,C
ASB12,GO:0000151,C
ASB1,GO:0000151,C
ASB2,GO:0000151,C
BARD1,GO:0000151,C
BMI1,GO:0000151,C
BRAP,GO:0000151,C
BRCA1,GO:0000151,C
BRCC3,GO:0000151,C
CAND1,GO:0000151,C
CBLL1,GO:0000151,C
DCUN1D1,GO:0000151,C
DCUN1D2,GO:0000151,C
DCUN1D3,GO:0000151,C
DCUN1D4,GO:0000151,C
DCUN1D5,GO:0000151,C
DNAJA1,GO:0000151,C
DYRK2,GO:0000151,C
FBXL12,GO:0000151,C
FBXL21,GO:0000151,C
FBXL3,GO:0000151,C
FBXL4,GO:0000151,C
FBXL5,GO:0000151,C
FBXL7,GO:0000151,C
FBXO10,GO:0000151,C
FBXO11,GO:0000151,C
FBXO21,GO:0000151,C
FBXO24,GO:0000151,C
FBXO25,GO:0000151,C
FBXO4,GO:0000151,C
FBXO7,GO:0000151,C
FBXO8,GO:0000151,C
FBXO9,GO:0000151,C
FBXW11,GO:0000151,C
FBXW4,GO:0000151,C
GID4,GO:0000151,C
GID8,GO:0000151,C
GPR37,GO:0000151,C
HSPA1A,GO:0000151,C
HSPA1B,GO:0000151,C
HSPA8,GO:0000151,C
IKBKG,GO:0000151,C
LMO7,GO:0000151,C
MAEA,GO:0000151,C
MED10,GO:0000151,C
MED11,GO:0000151,C
MED12,GO:0000151,C
MED1,GO:0000151,C
MED20,GO:0000151,C
MED21,GO:0000151,C
MED27,GO:0000151,C
MED30,GO:0000151,C
MED31,GO:0000151,C
MED7,GO:0000151,C
MIB2,GO:0000151,C
MKLN1,GO:0000151,C
NEDD4,GO:0000151,C
PINK1,GO:0000151,C
RANBP10,GO:0000151,C
RANBP9,GO:0000151,C
RCHY1,GO:0000151,C
RMND5A,GO:0000151,C
RNF11,GO:0000151,C
RNF144A,GO:0000151,C
RNF144B,GO:0000151,C
RNF14,GO:0000151,C
RNF168,GO:0000151,C
RNF19A,GO:0000151,C
RNF19B,GO:0000151,C
RNF20,GO:0000151,C
RNF217,GO:0000151,C
RNF2,GO:0000151,C
RNF40,GO:0000151,C
RNF8,GO:0000151,C
SMURF2,GO:0000151,C
STUB1,GO:0000151,C
SUGT1,GO:0000151,C
TOPORS,GO:0000151,C
TRAF2,GO:0000151,C
TRAF7,GO:0000151,C
TSPAN17,GO:0000151,C
UBE2C,GO:0000151,C
UBE2D1,GO:0000151,C
UBE2D2,GO:0000151,C
UBE2D3,GO:0000151,C
UBE2D4,GO:0000151,C
UBE2E1,GO:0000151,C
UBE2J2,GO:0000151,C
UBE2L3,GO:0000151,C
UBE2L6,GO:0000151,C
UBE2N,GO:0000151,C
UBE2V1,GO:0000151,C
UBE3D,GO:0000151,C
UBE4A,GO:0000151,C
UBE4B,GO:0000151,C
UBR1,GO:0000151,C
UBR2,GO:0000151,C
UBR3,GO:0000151,C
WDR26,GO:0000151,C
WWP1,GO:0000151,C
WWP2,GO:0000151,C
YPEL5,GO:0000151,C
CYCS,GO:0000159,C
IER5,GO:0000159,C
NKD1,GO:0000159,C
PPP2CA,GO:0000159,C
PPP2CB,GO:0000159,C
PPP2R1A,GO:0000159,C
PPP2R1B,GO:0000159,C
PPP2R2A,GO:0000159,C
PPP2R2B,GO:0000159,C
PPP2R2C,GO:0000159,C
PPP2R2D,GO:0000159,C
PPP2R3A,GO:0000159,C
PPP2R3B,GO:0000159,C
PPP2R5A,GO:0000159,C
PPP2R5B,GO:0000159,C
PPP2R5C,GO:0000159,C
PPP2R5D,GO:0000159,C
PPP2R5E,GO:0000159,C
STRN3,GO:0000159,C
STRN4,GO:0000159,C
STRN,GO:0000159,C
BIRC5,GO:0000228,C
BLM,GO:0000228,C
EXOSC9,GO:0000228,C
FIGNL1,GO:0000228,C
H2AFY,GO:0000228,C
H3F3A,GO:0000228,C
HDAC8,GO:0000228,C
HIST1H3A,GO:0000228,C
HIST1H4A,GO:0000228,C
HMGA2,GO:0000228,C
HNRNPU,GO:0000228,C
IK,GO:0000228,C
JUN,GO:0000228,C
MSH2,GO:0000228,C
MSH4,GO:0000228,C
NCAPD2,GO:0000228,C
NIPBL,GO:0000228,C
PBRM1,GO:0000228,C
PINX1,GO:0000228,C
RAD51,GO:0000228,C
SETX,GO:0000228,C
SMARCE1,GO:0000228,C
SMC2,GO:0000228,C
SPIDR,GO:0000228,C
SPO11,GO:0000228,C
TERF2IP,GO:0000228,C
THOC5,GO:0000228,C
TIMELESS,GO:0000228,C
TOP1,GO:0000228,C
TOP2A,GO:0000228,C
ZBED1,GO:0000228,C
ZBTB18,GO:0000228,C
BBS4,GO:0000242,C
BBS9,GO:0000242,C
CDK5RAP2,GO:0000242,C
CEP152,GO:0000242,C
CEP192,GO:0000242,C
CEP85,GO:0000242,C
HOOK3,GO:0000242,C
LCK,GO:0000242,C
NEDD1,GO:0000242,C
NEK1,GO:0000242,C
NIN,GO:0000242,C
PCM1,GO:0000242,C
RABL2B,GO:0000242,C
TCP1,GO:0000242,C
TNKS2,GO:0000242,C
TNKS,GO:0000242,C
TUBE1,GO:0000242,C
TUBG1,GO:0000242,C
TUBG2,GO:0000242,C
WDR60,GO:0000242,C
CCNA1,GO:0000307,C
CCNA2,GO:0000307,C
CCNB1,GO:0000307,C
CCNB2,GO:0000307,C
CCNB3,GO:0000307,C
CCNC,GO:0000307,C
CCND1,GO:0000307,C
CCND2,GO:0000307,C
CCND3,GO:0000307,C
CCNE1,GO:0000307,C
CCNE2,GO:0000307,C
CCNF,GO:0000307,C
CCNG1,GO:0000307,C
CCNG2,GO:0000307,C
CCNH,GO:0000307,C
CCNI2,GO:0000307,C
CCNI,GO:0000307,C
