gene,GO.term,type
TBX22,GO:0000977,F
TEF,GO:0000977,F
TFAP2A,GO:0000977,F
TFAP2B,GO:0000977,F
TFAP2C,GO:0000977,F
TFAP2D,GO:0000977,F
TFAP2E,GO:0000977,F
TFCP2L1,GO:0000977,F
TFDP1,GO:0000977,F
TFDP2,GO:0000977,F
THRA,GO:0000977,F
THRB,GO:0000977,F
TNF,GO:0000977,F
TRPS1,GO:0000977,F
VDR,GO:0000977,F
VEZF1,GO:0000977,F
YBX3,GO:0000977,F
ZBTB4,GO:0000977,F
ZBTB5,GO:0000977,F
ZHX3,GO:0000977,F
ZIC1,GO:0000977,F
ZIC2,GO:0000977,F
ZIC3,GO:0000977,F
ZIC4,GO:0000977,F
ZIC5,GO:0000977,F
ZNF131,GO:0000977,F
ZNF175,GO:0000977,F
ZNF205,GO:0000977,F
ZNF589,GO:0000977,F
ZNF711,GO:0000977,F
ACTB,GO:0000978,F
ACTL6A,GO:0000978,F
AEBP2,GO:0000978,F
AGO1,GO:0000978,F
AKNA,GO:0000978,F
AR,GO:0000978,F
ARID3B,GO:0000978,F
ARNT2,GO:0000978,F
ASCL1,GO:0000978,F
ASCL2,GO:0000978,F
ATF3,GO:0000978,F
ATF4,GO:0000978,F
ATF6,GO:0000978,F
ATOH1,GO:0000978,F
BATF2,GO:0000978,F
BATF3,GO:0000978,F
BATF,GO:0000978,F
BCL11A,GO:0000978,F
BCL11B,GO:0000978,F
BHLHE41,GO:0000978,F
BORCS8-MEF2B,GO:0000978,F
CARF,GO:0000978,F
CC2D1A,GO:0000978,F
CC2D1B,GO:0000978,F
CDK9,GO:0000978,F
CDX4,GO:0000978,F
CEBPA,GO:0000978,F
CEBPB,GO:0000978,F
CEBPD,GO:0000978,F
CEBPE,GO:0000978,F
CEBPG,GO:0000978,F
CEBPZ,GO:0000978,F
CHD2,GO:0000978,F
CHD4,GO:0000978,F
CHD7,GO:0000978,F
CLOCK,GO:0000978,F
CREB1,GO:0000978,F
CREB3,GO:0000978,F
CRX,GO:0000978,F
CTCF,GO:0000978,F
CTCFL,GO:0000978,F
CUX2,GO:0000978,F
DDIT3,GO:0000978,F
DDN,GO:0000978,F
DHX36,GO:0000978,F
DHX9,GO:0000978,F
DLX4,GO:0000978,F
DLX5,GO:0000978,F
DPF2,GO:0000978,F
DUX4,GO:0000978,F
E2F4,GO:0000978,F
E2F7,GO:0000978,F
E2F8,GO:0000978,F
EBF2,GO:0000978,F
EBF3,GO:0000978,F
EED,GO:0000978,F
EGR2,GO:0000978,F
EHF,GO:0000978,F
ELF1,GO:0000978,F
ELF3,GO:0000978,F
ELF4,GO:0000978,F
ELK1,GO:0000978,F
ELK3,GO:0000978,F
ELK4,GO:0000978,F
EN1,GO:0000978,F
EP300,GO:0000978,F
ERG,GO:0000978,F
ESR1,GO:0000978,F
ESR2,GO:0000978,F
ESRRA,GO:0000978,F
ESRRB,GO:0000978,F
ETS1,GO:0000978,F
ETS2,GO:0000978,F
ETV1,GO:0000978,F
ETV2,GO:0000978,F
ETV4,GO:0000978,F
ETV6,GO:0000978,F
EZH2,GO:0000978,F
FEZF1,GO:0000978,F
FEZF2,GO:0000978,F
FIGLA,GO:0000978,F
FLI1,GO:0000978,F
FOSB,GO:0000978,F
FOS,GO:0000978,F
FOSL1,GO:0000978,F
FOSL2,GO:0000978,F
FOXA2,GO:0000978,F
FOXD1,GO:0000978,F
FOXI1,GO:0000978,F
FOXJ1,GO:0000978,F
FOXJ2,GO:0000978,F
FOXK2,GO:0000978,F
FOXL2,GO:0000978,F
FOXO3,GO:0000978,F
FOXP1,GO:0000978,F
FOXP2,GO:0000978,F
FOXP3,GO:0000978,F
FOXQ1,GO:0000978,F
FOXS1,GO:0000978,F
FUBP3,GO:0000978,F
GABPA,GO:0000978,F
GATA1,GO:0000978,F
GATA2,GO:0000978,F
GATA3,GO:0000978,F
GATA4,GO:0000978,F
GATA5,GO:0000978,F
GATA6,GO:0000978,F
GATAD2B,GO:0000978,F
GCFC2,GO:0000978,F
GCM1,GO:0000978,F
GLI1,GO:0000978,F
GLI2,GO:0000978,F
GLI3,GO:0000978,F
GMEB1,GO:0000978,F
GMEB2,GO:0000978,F
GRHL1,GO:0000978,F
GSC,GO:0000978,F
GSX1,GO:0000978,F
GZF1,GO:0000978,F
H2AFZ,GO:0000978,F
HAND1,GO:0000978,F
HDAC1,GO:0000978,F
HDAC2,GO:0000978,F
HDAC4,GO:0000978,F
HDAC5,GO:0000978,F
HDAC6,GO:0000978,F
HELT,GO:0000978,F
HESX1,GO:0000978,F
HEYL,GO:0000978,F
HHEX,GO:0000978,F
HINFP,GO:0000978,F
HLTF,GO:0000978,F
HMGA2,GO:0000978,F
HNF4A,GO:0000978,F
HNF4G,GO:0000978,F
HNRNPC,GO:0000978,F
HNRNPK,GO:0000978,F
HNRNPU,GO:0000978,F
HOXA10,GO:0000978,F
HOXA2,GO:0000978,F
