gene,GO.term,type
NFX1,GO:0000122,P
NFXL1,GO:0000122,P
NIPBL,GO:0000122,P
NKAP,GO:0000122,P
NKX2-1,GO:0000122,P
NKX2-5,GO:0000122,P
NKX3-2,GO:0000122,P
NKX6-1,GO:0000122,P
NKX6-2,GO:0000122,P
NOC2L,GO:0000122,P
NODAL,GO:0000122,P
NOG,GO:0000122,P
NOTCH1,GO:0000122,P
NOTCH3,GO:0000122,P
NPAS1,GO:0000122,P
NR0B1,GO:0000122,P
NR0B2,GO:0000122,P
NR1D1,GO:0000122,P
NR1D2,GO:0000122,P
NR1H2,GO:0000122,P
NR1H3,GO:0000122,P
NR1H4,GO:0000122,P
NR2C1,GO:0000122,P
NR2E1,GO:0000122,P
NR2E3,GO:0000122,P
NR2F1,GO:0000122,P
NR2F2,GO:0000122,P
NR2F6,GO:0000122,P
NR3C1,GO:0000122,P
NR4A2,GO:0000122,P
NR4A3,GO:0000122,P
NR6A1,GO:0000122,P
NRARP,GO:0000122,P
NRIP1,GO:0000122,P
NSD1,GO:0000122,P
OLIG2,GO:0000122,P
OLIG3,GO:0000122,P
ORC2,GO:0000122,P
OSR1,GO:0000122,P
OSR2,GO:0000122,P
OTUD7B,GO:0000122,P
OVOL1,GO:0000122,P
OVOL2,GO:0000122,P
PAF1,GO:0000122,P
PARP15,GO:0000122,P
PARP1,GO:0000122,P
PARP9,GO:0000122,P
PAWR,GO:0000122,P
PAX4,GO:0000122,P
PAX5,GO:0000122,P
PAX6,GO:0000122,P
PAXBP1,GO:0000122,P
PCBP3,GO:0000122,P
PCGF1,GO:0000122,P
PCGF2,GO:0000122,P
PCGF6,GO:0000122,P
PDE2A,GO:0000122,P
PDX1,GO:0000122,P
PEG3,GO:0000122,P
PER1,GO:0000122,P
PER2,GO:0000122,P
PER3,GO:0000122,P
PEX2,GO:0000122,P
PHB,GO:0000122,P
PHF12,GO:0000122,P
PHF14,GO:0000122,P
PHF21A,GO:0000122,P
PHF6,GO:0000122,P
PIAS1,GO:0000122,P
PIAS3,GO:0000122,P
PIAS4,GO:0000122,P
PKIA,GO:0000122,P
PKIG,GO:0000122,P
PLK1,GO:0000122,P
PLK3,GO:0000122,P
POU1F1,GO:0000122,P
POU4F1,GO:0000122,P
POU4F2,GO:0000122,P
POU5F1,GO:0000122,P
POU6F1,GO:0000122,P
PPARA,GO:0000122,P
PPARD,GO:0000122,P
PPARG,GO:0000122,P
PPID,GO:0000122,P
PPM1A,GO:0000122,P
PPP1R13L,GO:0000122,P
PRDM13,GO:0000122,P
PRDM14,GO:0000122,P
PRDM16,GO:0000122,P
PRDM1,GO:0000122,P
PRDM5,GO:0000122,P
PRMT6,GO:0000122,P
PROP1,GO:0000122,P
PROX1,GO:0000122,P
PROX2,GO:0000122,P
PRRX1,GO:0000122,P
PSEN1,GO:0000122,P
PSMD10,GO:0000122,P
PTCH1,GO:0000122,P
PTH,GO:0000122,P
PTPN2,GO:0000122,P
PURB,GO:0000122,P
RARA,GO:0000122,P
