"GLI1_UP.V1_UP","E2F1_UP.V1_UP","EGFR_UP.V1_UP","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_UP","HINATA_NFKB_IMMU_INF","HINATA_NFKB_MATRIX","CYCLIN_D1_KE_.V1_UP","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_UP","AKT_UP_MTOR_DN.V1_UP","AKT_UP.V1_UP","MTOR_UP.V1_UP","PIGF_UP.V1_UP","VEGF_A_UP.V1_UP","BCAT_GDS748_UP","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_UP","ATF2_UP.V1_UP","WNT_UP.V1_UP","ATM_DN.V1_UP","P53_DN.V2_UP","RELA_DN.V1_UP","P53_DN.V1_UP","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_UP","MYC_UP.V1_UP","SRC_UP.V1_UP","SNF5_DN.V1_UP","CAMP_UP.V1_UP","LTE2_UP.V1_UP","MEK_UP.V1_UP","RAF_UP.V1_UP","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_UP","JNK_DN.V1_UP","BRCA1_DN.V1_UP","CTIP_DN.V1_UP","PKCA_DN.V1_UP","MTOR_UP.N4.V1_UP","PTEN_DN.V2_UP","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_UP","ALK_DN.V1_UP","BMI1_DN_MEL18_DN.V1_UP","BMI1_DN.V1_UP","MEL18_DN.V1_UP","PTEN_DN.V1_UP","NOTCH_DN.V1_UP","EIF4E_UP","CRX_DN.V1_UP","CRX_NRL_DN.V1_UP","NRL_DN.V1_UP","RB_DN.V1_UP","RB_P107_DN.V1_UP","RB_P130_DN.V1_UP","CAHOY_ASTROCYTIC","CAHOY_ASTROGLIAL","CAHOY_NEURONAL","CAHOY_OLIGODENDROCUTIC","RPS14_DN.V1_UP","IL15_UP.V1_UP","IL2_UP.V1_UP","IL21_UP.V1_UP","PDGF_ERK_DN.V1_UP","PDGF_UP.V1_UP","TGFB_UP.V1_UP","YAP1_UP","SIRNA_EIF4GI_UP","HOXA9_DN.V1_UP","SINGH_KRAS_DEPENDENCY_SIGNATURE_","STK33_NOMO_DN","STK33_NOMO_UP","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_UP","TBK1.DF_UP","TBK1.DN.48HRS_UP","NFE2L2.V2","CORDENONSI_YAP_CONSERVED_SIGNATURE","JAK2_DN.V1_UP","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_UP"
,"GUF1","TFPI","MIA3","STYX","CASD1","GALNTL4",,,"TRAF1","GTF2H4","CD33","D4S234E","LGMN","CYP51A1","MKL2","SREK1","OVOL1",,,"ABLIM3","C3AR1","A4GALT","ADARB1","IL1RAPL1","SLC6A14","CD24",,"LOC202451","NLE1","ATOX1","DCAKD","SEC61A1","BNIP3L","F2RL1","ASPH","FOXP1","TRIB1","IRF8","DOK2","RRAD","KCNJ16","CYSLTR1","ZFPM1","GUCY1A3","PLAU","GRIA1","ADSSL1","PARVA","ZNF322","CDH2","LYL1","MICALL1","CHST3","C3orf52","KIAA0125","INPP1","VIPR2","ALPK2","GUCA1B","RHBDL3","CCDC88C","COL6A2","C7orf70","PTPLAD1","CTTN","GPR22","CRYM","IGSF6","PQLC2","CCDC85B","SLC12A8","PAX2","CDC25A","KIR2DS2",,"IGF2R","JAK2",,"NHLRC2","ABHD2","CXorf23","NRP1","BMPER","RRAD","G0S2",,"CHRDL2",,"CYP1B1","ADAM19",,"ADAM19","DNAH9","CMKLR1","FAM153B","HBEGF","DNAH9","CD80","APOBEC3G"
,"TAF6","HBEGF","TNNT1","CD2BP2","PFDN6","SHC3",,,"PTPRH","KLF4","PAPD4","CDC6","NOL12","CALCB","PYGL","FAM208A","CRYGC",,,"ALX3","S100A4","IL12B","C15orf2","PRKCE","FGF17","KIAA1199",,"ZIC2","EEF1E1","PIN1","MKL1","KIAA1267","SLC2A10","GRAMD3","KAT2B","RBM4","SLMO2","ETV4","MRS2","EPAG","RHOH","TMEM22","PAQR7","EAF2","OR12D2","WISP1","RASL11B","H19","SEPP1","NEPNP","FLVCR2","TNFAIP6","IGKC","AGRN","LAMC3","LCE2B","MDH2","TMEM229B","ST8SIA1","POLR2A","AAAS","TCFL5","C9orf89","MFGE8","LOXL2","GAD2","FEZF2","MS4A6A","ZBTB48","KIF1C","BET1L","NCKAP1L","MORC2","PPP1R13L",,"TCF25","FNDC3B",,"FLT3","HNMT","ASPH","BCL3","EFNA2","STEAP1","GCC2",,"OSGIN1",,"GRM4","ETV4",,"ETV4","KCNJ14","CXCL3","PNMA2","CYP2J2","KCNJ14","TGFBR1","EN2"
,"VPRBP","SNX16","FMO5","GGPS1","CHP","KLHL35",,,"KCTD2","LTBR","RG9MTD1","FOXM1","MYO5B","GPR56","HSPE1","GJA4","FAM189A2",,,"MAP1B","AKAP4","NEUROD2","KRT85","DPYS","KMO","DHRS3",,"DDAH1","IL17D","SYN1","SOX2","HNRNPU","LRP8","CLDN9","MSX2","ACE","CYP1A1","TRIB1","CIDEA","TEK","CG030","LRTM1","SLC5A4","ABHD6","GPM6A","CCT8L2","PTGER4","MORC4","TNFRSF1B","MYL3","PNOC","TIMP3","ABCA1","TGFBR3","TUBB2B","KCND1","PMM2","MDM1","EXT1","RHPN1","FBP1","RPA1","AVP","DNAI1","TRAF1","PNOC","C17orf76","HESX1","CYP7A1","PPAP2C","OR6A2","NBAS","NEDD9","CLCF1",,"RMND1","SLC26A2",,"TMTC2","RNF19A","SULF2","GLIPR1","FLJ14327","E2F8","SERTAD2",,"LOC729409",,"PDE10A","CTNNA2",,"CTNNA2","DOCK4","GLRX","RIT2","C11orf41","DOCK4","FGF21","GNG4"
,"ERMP1","ISG20","MUC1","XPO1","VCAN","DNAH3",,,"GLB1","TAP1","EIF4H","COPS3","PAK1","SYT8","HIST1H2BD","MAFK","TCEA2",,,"ARHGAP22","LRTM1","CDH5","CYP24A1","EML3","TRIM38","INHBB",,"INHBB","ABCC4","GALK1","SELPLG","CKMT1A","RHOQ","MAP3K9","HERC5","CNGA1","RPL3L","CCNJL","BRDT","CLDN18","CTLA4","HIST1H2AE","UBD","ARG2","SPIB","WASL","AMPH","ZDHHC9","HDAC11","RECK","CARD9","GDF5","VEGFC","SLCO4A1","MMRN2","PPP1R13L","NEGR1","KLKB1","CRYGB","NME4","PEX11B","COX6B2","STMN3","BCAT1","MXRA8","SLC25A22","CPOX","TAC3","ACVRL1","FLT1","S100A1","COL10A1","ATF6","TBC1D2B",,"MAGEF1","IFT74",,"HCG11","STX12","ACTA2","NBEAL1","C10orf81","GNE","CIAPIN1",,"BCAT1",,"BMP2","GBA3",,"GBA3","ADAM19","CALB1","SMR3A","NDOR1","ADAM19","MAP4K1","EMP1"
,"SLC35E1","SPAG1","GUCY1B3","ARHGEF1","KIFC1","MAN1A2",,,"COL18A1","ST3GAL4","KLF13","NOC2L","CALCB","PRKCH","USP18","ABCA8","OPTN",,,"NFE2L3","NEFM","MFAP2","LHPP","SPRR1B","PDK1","GLUL",,"MANEAL","NOC4L","TMEM88","ABI3BP","STAT4","C1orf115","SLC12A2","SPRR3","GRM2","KCNJ15","B3GALT4","CA11","SNAI2","APOH","LIN28A","KIRREL","PTPRK","CA5B","CACNG5","MAG","GPX3","PDZK1","P4HA2","AIF1","C2CD2","CHST11","CTSS","C11orf16","RAB23","MYH6","RHPN1","DIAPH3","NXNL1","POLE2","CDKN1C","SDF2L1","PHKG1","CP","HSD17B4","PKIG","DNAJC22","FOXP3","AATK","SPP1","TCEAL2","EGR3","MMD",,"PSAP","SLC46A3",,"IL18RAP","VWA5A","KMO","RNF19A","RCAN2","LTBP3","BTG3",,"HPN",,"LOC51190","GRIN2A",,"GRIN2A","ITPKA","OR2C1","WSCD1","CD80","ITPKA","CFH","NRIP3"
,"TYRO3","MAOA","ARNT2","KRT12","HNF1A","LDOC1",,,"FAM189A2","ALDH3A2","CHUK","CXCL6","HCK","COMTD1","MCM5","GRB14","NAT8",,,"MAGEC3","HPGD","SAA3P","ABCA8","NCKAP1L","NOVA1","KLK1",,"SEPT3","ZNF667","GPX5","SLC1A5","BSCL2","RPS6KA5","SDCBP","CABYR","RGS16","NXPH3","TBXAS1","STAB2","RNF8","LDB2","PNMT","HLA-E","MCPH1","GK3P","GDPD3","BTN1A1","GPRC5C","GPR153","GYG1","SCN1A","PLAUR","MICA","TMEM51","WISP2","CPA2","NOP16","DHH","LLGL2","CCNA2","STUB1","WDHD1","HMGA2","CYP7B1","PON3","CALN1","CSDC2","RMST","CENPT","F2RL2","PIM2","ABCC6P2","ZNF394","FNBP1L",,"BTG2","SCPEP1",,"LOC644295","MMP10","KLF6","CD101","CEBPE","SPRY2","CORO1A",,"SUV39H2",,"ANXA2P1","LOC653127",,"LOC653127","OR2B6","GABRA3","DNM3","CYTIP","OR2B6","C17orf53","SLC5A3"
,"DNAJC2","SAMD4A","MGAT4A","SMC2","MAGOH","INS",,,"TSC2","MLL","ZNF324","PGM2","MPP2","ABCA7","MSX2","MTF2","ARL4C",,,"ZNF324B","ADM2","BAI1","PROL1","FCRL2","KCNJ16","RABGAP1L",,"SLC27A2","CD320","PI16","LGR5","C14orf159","GPX3","ABCG1","CERK","ARL4C","CUBN","OSTM1","ZNF471","PTPN22","THPO","NPPA","GNAO1","ADAM9","CHAC1","PLAA","LYRM5","DLK1","GRM8","NAGLU","PRDM1","MICA","DHRS3","SLC6A9","MYBPC1","LOC440334","BMP3","PLA2R1","XIST","TRPC1","ZBTB2","CCNE1","CACNG4","CORO1C","PRSS23","FGF9","AGAP11","IL1RAP","USP36","IL1A","BAIAP3","GLRX","SLCO3A1","DACT1",,"PTPN13","VASH1",,"SLC37A4","LY96","PHLDA1","PLAU","HECW1","SCG5","LSP1",,"ZNF714",,"PDZRN4","NAV3",,"NAV3","PRSS3","LOC650594","GPNMB","UGT1A10","PRSS3","ADRA1B","ARHGAP4"
,"KIF2A","FHOD1","PNRC1","DOLPP1","DLGAP5","ATP2C2",,,"NFE2","MNX1","PAPD7","TRPC4","RAB3IP","GUSB","SERPINB5","SP3","CD19",,,"SATB2","APAF1","F2R","PSG5","MMP13","SIRPB1","KAT5",,"HPGD","UTP15","SLC4A9","ABHD14A","IFITM3","REEP1","SCCPDH","JAM2","NEIL1","USP12","PRKG2","AATK","IL12RB1","GABRB1","COL1A2","FBP1","APOL6","C1orf20","C22orf31","LMBRD1","RAB6B","MGA","GRINA","BEGAIN","NT5E","MFGE8","NT5E","UCHL1","STARD8","MS4A1","UBXN11","FXYD6","SHISA2","ALPK3","TYRP1","RACGAP1","TMEM51","COL5A1","CRHBP","SPEG","TYROBP","PUS1","INHBB","SLCO5A1","KLK7","GADD45A","ELK3",,"FAM158A","DHX29",,"KIAA1274","CPEB4","LOC284757","RIT1","NPAS3","LOC653127","GNG11",,"PCK2",,"CBX8","MAPK10",,"MAPK10","ANGPTL4","TRAF1","NRN1","TMEM158","ANGPTL4","LIMD2","EGR3"
,"NDUFAF4","SEL1L3","EPHX1","FOXK1","CYP4B1","LHX2",,,"FGFR4","S100B","B3GNT6","EEF1E1","RASSF1","SH3BGRL2","TMEM53","IREB2","TM7SF2",,,"TRPM2","CEP41","ZFP92","P2RY1","WNT3","CDHR5","CTNNBIP1",,"SLC30A4","PUS7","LOC283475","KLHDC5","TRIM38","RRAGD","SORL1","TLE2","PDE6A","PTBP2","DCBLD2","LCAT","NOX1","LINC00260","LGALS9","RDH12","OGN","GVINP1","C17orf88","PIK3R1","RNF128","WNT3A","LHX1","P2RX3","BST1","FAM57A","ADM","PRDM14","LMAN1","IL18","PPP3CC","PTPN18","BCL3","SLC24A1","SLIT3","SNRPC","FGFR3","MSN","PRSS12","DOCK10","GDF15","YRDC","FAM57A","TPST2","OXCT1","ANXA7","TBPL1",,"D4S234E","TICAM1",,"KIT","TRIP11","CMTM1","HIST2H2BE","LRRC37A4","CUTC","NCK2",,"SMPX",,"ALPL","CHGA",,"CHGA","OSBP2","BAIAP3","DDX6","SEMG2","OSBP2","DNM1","PDGFA"
,"CNIH2","TAP1","LIMCH1","PRMT10","SQRDL","PDE1B",,,"GOT1","TGFB1","BDKRB1","TAGLN3","DUSP8","SLC2A1","A2LD1","AIMP1","RFNG",,,"RPL39L","DNAJC15","UTS2R","NFIC","BPI","APOB","GPSM2",,"CHML","MMP16","CCDC65","GRK6","POLR3H","PLCB4","SLC2A6","CD44","DYM","RNF38","TBC1D19","DYNC2LI1","HIST1H2AM","LRTM1","INSR","TUB","IDH1","SLITRK3","CA6","STC1","FST","OTUD7A","CCNG2","SLC12A8","COL7A1","AGRN","LHFPL2","ARHGDIG","CRYM","TP53I11","AGR2","FAIM","DUSP14","NANS","GTSE1","HYAL3","ELOVL2","FOXJ1","NEFM","PUS7","SFXN3","DGKG","IFNW1","MMP25","RRBP1","ADAM9","C9orf91",,"PYGL","FNDC3A",,"BPNT1","ACVR1","HMOX1","KLF6","PAX4","MAP3K6","NGFR",,"CKAP4",,"C13orf44","NME5",,"NME5","LDB3","DEFB4A","GABRR2","ABCB1","LDB3","RARRES2","SCML1"
,"WBP11","RNF19A","ANGPTL4","MSH6","SLC23A2","LOC100287723",,,"MPHOSPH6","EVX1","TBX2","GREM2","PACSIN3","GPX8","MAK","NUP155","psiTPTE22",,,"ADAMTSL4","DCAF4","LOC646627","CA6","POU6F1","PIP","FOXN3",,"TSHZ1","UNG","CAPS","DDX3X","WASH3P","PCDH9","GPX3","LRP5","TNN","ZNF277","PPFIA4","GAB2","MAN2A2","TRPV6","LMO1","GSTA2","ADM","KRT75","SARDH","CD33","FRZB","TEX2","PITX2","FMO1","TUFT1","TAP1","SLC1A5","SIT1","HMOX1","NTPCR","CSGALNACT2","ZC3H3","GNB1","TYRP1","POLD1","NKD2","PAK3","COL4A6","GRP","PRKAG2","HLA-DQB1","RHOB","TTTY1","SPARCL1","SOX21","RAB40B","BCOR",,"HSPB1","ZCCHC2",,"POLD2","DAPK1","ZFP36","GPR137C","HSPA6","TM4SF1","CKB",,"DGKG",,"SLC8A1","APOD",,"APOD","ST3GAL6","LILRA6","SLC12A5","IL8","ST3GAL6","ATXN3L","LINC00341"
,"SLC9A3R1","IL4R","PAPSS2","CCNJ","LBR","LST1",,,"ALDH3A2","ATP4A","PANX1","HMGB1","MYCN","TMEM56","KCNK4","CLEC2B","TKTL1",,,"HOXD1","CENPO","UBXN11","PDE6G","FGF22","MC3R","CLDN3",,"RASGRP1","DCTPP1","SLC25A22","FGF18","NSUN3","ENOSF1","CBLB","NUAK1","MAFK","LRCH4","PTBP2","BMP3","TACR1","HOXB7","C15orf38","SMPD3","ULBP1","IL1B","BEST1","SCRN3","OAF","KLF13","AMOT","CCNK","PIM1","INHBE","ITGA3","BMP10","RDH5","C6orf108","TMEM27","ABHD14A","SNTG2","C20orf27","CD248","SULT1B1","ADORA2B","PTRH1","FABP3","RNASEH2B","CYP1B1","DLX2","LOC388796","GUCY1B3","REST","EZR","KANK1",,"GLUD1","PTGER4",,"HPDL","RIT1","KLHL28","FNBP1L","TMEM35","OPLAH","TBC1D13",,"STC2",,"SPAG11A","ANK3",,"ANK3","PTPRR","KCNK3","SOBP","SH2D2A","PTPRR","HAL","ZNF236"
,"VEGFA","PSMB9","ITGB4","STAT5A","FBXO11","KLK6",,,"CHKA","PLOD1","POM121","SNORD22","RIMKLB","MYO5B","SC5DL","REV3L","CALCOCO1",,,"FGFBP1","LOC80054","LANCL2","CD19","HAO1","NFIC","IL18",,"CABLES2","TTYH2","TFR2","MSX1","GPR160","PIP","TNFRSF11B","SLC31A2","SOHLH2","GSC2","MMP10","FAT2","SCN2B","GML","MGC13053","SLC16A3","BATF","CHRM4","HTR6","NGLY1","P4HA2","OCLN","SLIT3","FAP","RUSC2","TMEM62","CDH13","BAI2","CALB1","ITPK1","STRA6","TNNT2","ATP8A2","MAN1B1","RBPMS2","MYOZ2","GPR85","C2orf40","MLIP","NRM","RASGRP3","PAK6","SLC1A5","EIF3FP2","NRG1","FAM98A","HS3ST2",,"MIA3","RABAC1",,"ALCAM","AUH","C5AR1","TREM1","FAM155B","IRF9","GRINA",,"POM121L12",,"VOPP1","RTN1",,"RTN1","GBA3","SPRR2B","D4S234E","CYP4F8","GBA3","THSD4","AKAP12"
,"MXI1","WIPI1","VIPR1","RBBP6","FANCM","ANK1",,,"SCAP","KSR1","RIPK2","UMPS","SYT8","SLC6A14","NTSR1","EIF2S3","MLL2",,,"MYO7A","CD8A","ATP4B","VEGFA","SARDH","DLGAP1","EPCAM",,"BRI3BP","HP","FES","ENPP3","TGFBI","DHRS7","MAN1A1","VTCN1","CCND2","AKR1C3","SRPX2","RNASEL","CCL4","FLJ20712","FFAR2","GSTM4","TRIB3","GLRA2","DNAJC16","DHRS7","SLC40A1","PTK7","RGL3","GNAT2","F3","CXCL1","ITGA4","ADRA2C","TUBBP5","PRSS1","NRM","WWTR1","ARHGAP10","PRIM1","PCOLCE","RGS16","CHRDL1","CLCN4","PRDM8","RCBTB1","SEPT10","SLC1A5","DUSP2","TSHR","MYBPC3","POTEKP","DDC",,"SUN2","ACTA2",,"FLJ44635","ACSM3","STX12","ITGB8","CFHR5","ETNK1","HMOX1",,"TRIML2",,"TNFRSF10C","SCN1B",,"SCN1B","SLCO4A1","FCRL2","AQP4","ZBTB48","SLCO4A1","YPEL1","PDZD2"
,"TRNT1","WNT5A","NNT","SLC27A1","ZNF644","CDON",,,"CARS","HSD17B10","NCL","CDK5","EDN1","UGT8","STARD4","VCAN","DCX",,,"GALNT6","RSPH6A","IRX3","CEBPE","FOSL2","PPP1R15A","ZNF165",,"GKAP1","OAF","COX4I2","C1QC","ZDHHC23","LMO4","BCAM","CRISPLD2","LOC155060","CD5","IL13RA2","ELANE","CEACAM4","DAGLA","ASPA","PTGDS","PECAM1","TNFRSF10D","FMO6P","C16orf62","GYG1","NCOA2","MYO6","IL1R2","ITGB6","F3","FADS3","GGTLC2","LEPREL2","FETUB","INSL5","HSPA1A","FOXH1","DNA2","FBN1","SLC29A1","HEPH","PSRC1","MAL2","P4HA2","P2RY14","SLCO1A2","RSPH6A","SERPINC1","CLCN2","PANX1","MYBPC2",,"GPR15","NDFIP1",,"BEND5","KLHL28","LOC284801","PANX1","SSTR1","SLC2A10","CCDC165",,"GPX2",,"PHF14","CSF3",,"CSF3","HOXD11","CCRL1","PLCL1","ZNF639","HOXD11","TSSK2","S100A3"
,"IVNS1ABP","ABCC3","OPN3","ADAMTS1","SLTM","HIVEP1",,,"LMF2","STAT5A","NMD3","SRM","PLSCR1","CTRB1","NSDHL","THOC2","ZNRF4",,,"SSPN","KCNAB3","KLRC1","SNCB","PCDH1","BCMO1","CTAG2",,"C11orf96","LYPD6","FAM182B","IARS","PXK","PSTPIP2","FERMT2","EGFR","PADI4","CCDC87","CCK","XPNPEP2","TGM1","KCNH7","CTLA4","CYP11A1","PLCB1","JUN","IL36RN","TTR","FUT8","SATB1","SH3RF1","NNAT","HAS2","VLDLR","SLC16A6","TMLHE","SYT12","RGS3","STK17B","TAOK3","TAS2R4","BAZ1B","DUSP1","RASD1","LYRM4","ATOH8","METRN","NGRN","CSTA","LIME1","SLCO4A1","TPBG","TTC18","GNL1","F2RL1",,"DAG1","TP53TG1",,"TNKS","EOMES","KIAA1107","FNDC3A","NOVA1","SLC22A4","KLF11",,"HJURP",,"LRRC6","SPRY2",,"SPRY2","CSF2","IGF2","MPZL2","IL23A","CSF2","ACOX2","AUTS2"
,"FRAT2","AKAP12","HSPA2","AURKA","LLGL2","SYNPO",,,"ABLIM1","BMP5","PLCH1","C16orf61","TJP3","SEPT9","CPPED1","EFHA1","ENO3",,,"OVOL1","CHRNG","SNN","EPN1","NTSR1","DGKI","SPINT2",,"CRY1","RRP15","STAC3","CCL3","ZBED5","UBE3B","ABCC3","MAN1A1","FAM76A","C1orf21","BMP2","AOC4","SLC25A20","OSR2","CHODL","ADORA2B","GFPT1","DGCR11","F2","RB1","CRYAB","AQP2","HPN","AQP7","C3AR1","ITGB6","MT1F","GNAO1","C8B","UBFD1","PAQR4","RTBDN","ZC3H3","PMS2","CCNE2","SLC11A1","SPIRE1","ANXA4","NRGN","CTGF","CCNA1","PNMT","CDCP1","MYH15","NRIP1","DIXDC1","AKAP12",,"SLC25A3","CHPF2",,"FAM117B","IFI16","CPEB2","TLR6","FCER1G","DNASE1L1","BID",,"HPDL",,"FABP1","SEMA3A",,"SEMA3A","TNFAIP3","GJA8","MEF2C","IGSF1","TNFAIP3","ZEB1","RYR1"
,"PKP4","GCLM","SCAMP4","BEX4","IGF2","GRPR",,,"NEK3","MYL6","ZPBP","ALKBH7","SEC14L2","HIST1H4I","ATF3","RARB","IRS2",,,"HTR2B","ICAM2","CCL2","ENO3","CXCL5","ZNF165","CAMK1",,"SYNGR3","HS3ST3A1","MGC39584","POFUT2","ECSIT","CREB3L2","FOSL1","GM2A","SSTR4","CCND2","FXYD6","CCL18","HTR6","TRPM8","DDIT3","FTSJD1","MSMO1","LIG4","ARHGDIG","MPP2","ARAP2","MAGI3","EFNA1","CXCR5","TRIO","GABRE","CD97","PARK2","CA5B","GTF2H5","TCP11","SLC5A5","ARG2","ACOX3","FANCA","C11orf71","SLC46A1","C1orf31","PPFIA2","NR2C1","ARHGEF3","SPAG11A","PIP","SCN8A","DDN","VPS39","WNT4",,"AFG3L2","ACYP2",,"LOC283663","MIDN","NLRC4","ZFP36","F13A1","PXDN","SWAP70",,"BCAN",,"SPRR1A","CEL",,"CEL","CD247","LOC652159","ARPP21","JAK3","CD247","NR4A3","SH2D2A"
,"USP39","SOCS2","ANXA6","PUM2","ELOVL2","SLC22A18AS",,,"APOC4","NAT6","TFG","POLD1","HOXB5","CIR1","HN1","C9orf114","RGS3",,,"POMT2","FGF16","HS3ST1","CAV3","TP53","FLRT1","CHKA",,"EEF1A2","PUS1","MGC11082","RNF13","ZNF367","PTOV1","MAOA","PDE4D","FCHO1","SLPI","PPP2R1B","DCBLD2","NID2","RAG2","CD34","NRG4","GBE1","GYS2","GIPR","C9orf89","PGA5","ANKRD2","MSX2","NOD2","STX1A","SLC2A1","SIK1","CYB5R2","ANGPT4","CACNB3","SYNPO2","KCNB1","NLGN2","IER2","PIDD","ICA1","BTG1","GPHN","FAM123C","LRRC48","SPTLC3","PRSS2","TRIB1","BOK","ANXA11","KDM6A","SSBP3",,"CAMLG","CA6",,"SOCS2","MERTK","KIAA0895","CRK","OPN1SW","SEC24D","MEX3D",,"PIP",,"UTF1","MCF2",,"MCF2","KCNC1","TLR8","NME5","GRIP2","KCNC1","SLCO1C1","ARC"
,"SGOL1","CCDC68","VWA1","RYK","CKS2","SFPQ",,,"APOA2","APOA1","NET1","AP1S2","SOCS6","SECTM1","INTS3","PDCD10","ITIH4",,,"HBD","PTDSS2","POU1F1","HSD3B2","P2RY6","GAS7","CDKN2D",,"PEG10","HSPBAP1","NKX6-3","PTPRC","WAPAL","FA2H","ALDH4A1","UPP1","SLC19A2","SLC30A10","IDS","CCK","KIAA0368","IL5","MYF6","CYP2J2","BSPRY","DNAJB5","OR3A2","EDARADD","FARP1","MBOAT1","SCCPDH","FOXP3","PLEKHO1","HAS2","F3","ZNF22","LMO3","SLC25A30","NXNL2","C10orf99","MLL","FAM118A","LYPD1","MRAS","MERTK","C9orf167","CLSTN2","ELOVL6","GPR183","ZBTB7A","EVX1","HTR4","GAP43","TFIP11","ARHGAP12",,,"CCDC109B",,"PM20D2","FAM198B","FCAMR","TYROBP","CD3E","STX4","OCRL",,"GAS7",,"CRYBA2","ANO1",,"ANO1","CHRNA2","MAPK4","NAP1L2","TEX13A","CHRNA2","CAMK2B","FOSL1"
,"PSME3","MBNL2","P4HA2","DHODH","FAM165B","DRD3",,,"PPP5C","TRIM25","USP12","SLC16A3","C6orf106","TPRN","GSDMC","SLC33A1","MERTK",,,"FMO6P","PLBD1","HOXD3","BCHE","ATP12A","VEGFA","YES1",,"POLE","USE1","GRWD1","LMO2","METTL17","MMP9","COTL1","QPCT","SLC1A2","TRPS1","IL33","HR","GPR45","NKX2-2","SHCBP1L","NXNL2","SLC31A1","UTRN","OXCT2","COLQ","LMBRD1","VPS39","KDELR3","UBQLN3","C6orf103","LRRC15","GPR3","PCDHA5","RAG2","FKBP1B","B4GALT1","DHH","GALNT7","SLC25A42","KIF4A","SLC7A9","APP","OMG","CELF6","GNG8","SH3GL3","PSG4","CDH3","ARG1","ZIC4","TJP2","C19orf21",,,"TYMP",,"RGR","HBP1","RAB7B","MIDN","OSBP2","ETFB","PTK7",,"ADH6",,"IL24","KCNH2",,"KCNH2","IGHV3-48","KCNAB3","ALDH1A1","NGF","IGHV3-48","C5orf42","LCK"
,"MPG","KTN1","SERPINA1","GTF2H1","PHTF2","VPS11",,,"REEP5","RASSF7","UTP3","NUF2","RUNDC3A","ADH4","DBF4","KIAA0040","GRIK2",,,"TOP2A","LYPD1","MAPK8IP1","TTR","PDC","GRAP","FHL2",,"REEP1","DDX10","C19orf73","TIPIN","P4HB","SERHL","B3GNT3","RNF144A","ANGPTL3","TOR1AIP2","DMD","C9orf5","RUNX2","SPO11","OR2F2","ZNF865","UGCG","OVGP1","PTGFR","NEK2","CHRNB1","CCNK","MICU1","LOC646452","FADS3","CCL20","HLA-DQA1","JAM3","CASKIN2","AGXT2L2","ST8SIA1","SYTL1","SLC29A2","STMN1","TRPM1","ALK","PAPSS2","ACTA2","CACNG3","CLYBL","VWF","URB2","ITGA9","SCNN1A","CDC14B","SUZ12P","PDLIM4",,,"SAR1B",,"PCYOX1","ADAM28","CA6","TRIP11","ATG10","C7orf10","CASP7",,"STYK1",,"KIR2DS2","CEACAM3",,"CEACAM3","TBX3","CDK2AP2P3","SORBS1","ADCYAP1R1","TBX3","PADI3","CCR7"
,"TYMS","FADS3","RAB5C","CXorf38","NPM1","CHD5",,,"DAP","MASP1","ADRM1","LTBP2","CPNE6","IL1R1","BID","STXBP3","CCDC22",,,"LAS1L","NFKBIL1","CYP2E1","ACACA","HIST1H2AB","CDK5R2","TACSTD2",,"LOC401034","EMR2","CPLX2","EGR2","GAS5","KIAA1199","MPZL2","DSC2","EHHADH","AFP","RGS16","CA6","PECAM1","TACR3","BSPRY","TPMT","ETNK1","GRID2","USP6NL","EMID2","DBNDD2","ITIH3","FOXA1","CTRB2","TNFRSF8","PANX1","VLDLR","FAM49A","DXS542","TAF11","STK35","CKMT1A","IGFBP5","TUBG1","HEXDC","NXNL1","GPAM","SERPING1","JPH4","ZNF536","PTGDS","JUNB","POLR3G","HOXB2","NTNG1","GPSM2","S100A3",,,"ZFYVE16",,"PDGFRL","SEPT10","HIST1H2BD","C5orf41","MMP15","TP53I3","GLTPD1",,"LOC344887",,"ZSCAN2","PCP4",,"PCP4","KIF5C","IL2RG","LIMCH1","HOXD11","KIF5C","SLC10A2","RAI2"
