"GLI1_UP.V1_DN","GLI1_UP.V1_UP","E2F1_UP.V1_DN","E2F1_UP.V1_UP","EGFR_UP.V1_DN","EGFR_UP.V1_UP","ERB2_UP.V1_DN","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_DN","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_DN","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_DN","RAPA_EARLY_UP.V1_UP","HINATA_NFKB_IMMU_INF","HINATA_NFKB_MATRIX","CYCLIN_D1_KE_.V1_DN","CYCLIN_D1_KE_.V1_UP","CYCLIN_D1_UP.V1_DN","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_DN","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_DN","CSR_LATE_UP.V1_UP","AKT_UP_MTOR_DN.V1_DN","AKT_UP_MTOR_DN.V1_UP","AKT_UP.V1_DN","AKT_UP.V1_UP","MTOR_UP.V1_DN","MTOR_UP.V1_UP","PIGF_UP.V1_DN","PIGF_UP.V1_UP","VEGF_A_UP.V1_DN","VEGF_A_UP.V1_UP","BCAT_GDS748_DN","BCAT_GDS748_UP","BCAT.100_UP.V1_DN","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_DN","ATF2_S_UP.V1_UP","ATF2_UP.V1_DN","ATF2_UP.V1_UP","WNT_UP.V1_DN","WNT_UP.V1_UP","ATM_DN.V1_DN","ATM_DN.V1_UP","P53_DN.V2_DN","P53_DN.V2_UP","RELA_DN.V1_DN","RELA_DN.V1_UP","P53_DN.V1_DN","P53_DN.V1_UP","BCAT_BILD_ET_AL_DN","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_DN","E2F3_UP.V1_UP","MYC_UP.V1_DN","MYC_UP.V1_UP","SRC_UP.V1_DN","SRC_UP.V1_UP","SNF5_DN.V1_DN","SNF5_DN.V1_UP","CAMP_UP.V1_DN","CAMP_UP.V1_UP","LTE2_UP.V1_DN","LTE2_UP.V1_UP","MEK_UP.V1_DN","MEK_UP.V1_UP","RAF_UP.V1_DN","RAF_UP.V1_UP","PRC1_BMI_UP.V1_DN","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_DN","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_DN","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_DN","PRC2_SUZ12_UP.V1_UP","JNK_DN.V1_DN","JNK_DN.V1_UP","BRCA1_DN.V1_DN","BRCA1_DN.V1_UP","CTIP_DN.V1_DN","CTIP_DN.V1_UP","PKCA_DN.V1_DN","PKCA_DN.V1_UP","MTOR_UP.N4.V1_DN","MTOR_UP.N4.V1_UP","PTEN_DN.V2_DN","PTEN_DN.V2_UP","DCA_UP.V1_DN","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_DN","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_DN","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_DN","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_DN","ESC_V6.5_UP_LATE.V1_UP","ALK_DN.V1_DN","ALK_DN.V1_UP","BMI1_DN_MEL18_DN.V1_DN","BMI1_DN_MEL18_DN.V1_UP","BMI1_DN.V1_DN","BMI1_DN.V1_UP","MEL18_DN.V1_DN","MEL18_DN.V1_UP","PTEN_DN.V1_DN","PTEN_DN.V1_UP","NOTCH_DN.V1_DN","NOTCH_DN.V1_UP","EIF4E_DN","EIF4E_UP","CRX_DN.V1_DN","CRX_DN.V1_UP","CRX_NRL_DN.V1_DN","CRX_NRL_DN.V1_UP","NRL_DN.V1_DN","NRL_DN.V1_UP","RB_DN.V1_DN","RB_DN.V1_UP","RB_P107_DN.V1_DN","RB_P107_DN.V1_UP","RB_P130_DN.V1_DN","RB_P130_DN.V1_UP","CAHOY_ASTROCYTIC","CAHOY_ASTROGLIAL","CAHOY_NEURONAL","CAHOY_OLIGODENDROCUTIC","RPS14_DN.V1_DN","RPS14_DN.V1_UP","IL15_UP.V1_DN","IL15_UP.V1_UP","IL2_UP.V1_DN","IL2_UP.V1_UP","IL21_UP.V1_DN","IL21_UP.V1_UP","PDGF_ERK_DN.V1_DN","PDGF_ERK_DN.V1_UP","PDGF_UP.V1_DN","PDGF_UP.V1_UP","TGFB_UP.V1_DN","TGFB_UP.V1_UP","YAP1_DN","YAP1_UP","SIRNA_EIF4GI_DN","SIRNA_EIF4GI_UP","HOXA9_DN.V1_DN","HOXA9_DN.V1_UP","SINGH_KRAS_DEPENDENCY_SIGNATURE_","STK33_DN","STK33_NOMO_DN","STK33_NOMO_UP","STK33_SKM_DN","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_DN","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_DN","KRAS.DF.V1_UP","TBK1.DF_DN","TBK1.DF_UP","TBK1.DN.48HRS_DN","TBK1.DN.48HRS_UP","NFE2L2.V2","CORDENONSI_YAP_CONSERVED_SIGNATURE","JAK2_DN.V1_DN","JAK2_DN.V1_UP","KRAS.300_UP.V1_DN","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_DN","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_DN","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_DN","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_DN","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_DN","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_DN","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_DN","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_DN","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_DN","LEF1_UP.V1_UP"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ZNRF3","C8orf55","JUN","SETMAR","ERMAP","PLCXD2",,,,,"RFWD3","NME3",,,"KIAA0494",,,,,,,,"PRRG4","MAGEA11","PTPRJ","HDAC9",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ENHO","MTR","ULK2","LRRK2","RGS2","DAAM1",,,,,"KTN1","SPRR1B",,,"CD101",,,,,,,,"FOXRED2","ARL4C","PPFIA3","LAG3",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C20orf103","MBLAC2","NECAP1","ACY1","TMOD2","ATG14",,,,,"GNPDA1","ISL1",,,"KCNQ2",,,,,,,,"IGLV2-14","LDB3","FGGY","PLA2G3",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FAM134B","PCBD1","HECTD2","NUDT11","ZMYND17","EGR3",,,,,"SLK","MAST3",,,"KRT8P41",,,,,,,,"LOC644872","SPINK1","CD207","SPIB",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEO1","MTG1","C1QC","CALD1","MIR22HG","ADM",,,,,"TNRC6B","TMEM41B",,,"IL10",,,,,,,,"LOC57399","MLXIPL","MAP3K1","C7orf63",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FAM46C","LOC400027","TLR6","PPM1H","CD9","PPP3R1",,,,,"LEPREL1","NF2",,,"TXNRD3",,,,,,,,"COL2A1","CEND1","IL18R1","CFHR2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRIT1","ACOX2","LOC653754","TMEM143","ADM","TTLL7",,,,,"KLF7","GTF2H1",,,"SERPINA12",,,,,,,,"PIP5K1C","SLCO4A1","SCGB1A1","LAMC3",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SLC26A8","SOBP","LAMB3","C3orf70","LOC644656","WDR20",,,,,"LETM1","SLC33A1",,,"FTLP2",,,,,,,,"FLJ20712","PLAT","GP1BA","LPL",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CCL5","PADI2","CSRNP1","TUBA4A","GPR137B","SLC7A11",,,,,"TTBK2","C16orf5",,,"FTL",,,,,,,,"EDN1","KIT","TBC1D29","C1orf68",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FBLN7","MANSC1","KCNJ15","LEPREL4","HIST1H3F","BTG3",,,,,"UGGT1","NT5C2",,,"RDM1",,,,,,,,"HRASLS","LINC00341","IL12A","SAMD14",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PCYT1B","FAM134B","PPP1R3B","PRSS1","LCOR","AUH",,,,,"CAMK2N1","TTC33",,,"NRG4",,,,,,,,"HRH3","CMKLR1","POU4F2","WDR25",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ZNF664","APBB2","WDR19","RAB38","IL15","STC1",,,,,"LRIG2","ATF3",,,"GSTA2",,,,,,,,"THNSL2","MYF6","DAAM2","FLT4",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RORB","SLAIN1","SGPL1","PSMG4","RNF141","PPP1R15A",,,,,"RMND1","SNX11",,,"HSPB3",,,,,,,,"CALML5","OR2C1","PAX2","GPRC5D",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NHLRC2","MICAL2","TUBB2A","ZFP57","ZNF682","MANBAL",,,,,"CBFB","ANXA6",,,"TREX1",,,,,,,,"ZBTB16","PFKFB1","C11orf80","SEMA3A",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LOC730101","SIRPB2","C9orf86","POLD2","CYBB","NOV",,,,,"ESF1","STX3",,,"IL3RA",,,,,,,,"EPHB3","TMEM158","ENTPD5","LHB",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RET","DLX6-AS1","CTTNBP2NL","ADAMTS5","HIST1H3I","ANXA1",,,,,"PPIG","AKR1C3",,,"GSR",,,,,,,,"CD300A","GALR2","DYRK1B","MYOC",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PARP16","PTGER2","SEMA4D","RSAD1","MFAP3","LOC643424",,,,,"PLEKHA1","PROS1",,,"RRM2",,,,,,,,"IL5","TRIM2","SLC6A3","TRIM46",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRAF7","DOPEY2","UNK","SCD","MIDN","HIST1H3J",,,,,"FOXA2","GALNT12",,,"GCLC",,,,,,,,"KLK12","PRO0478","APOL3","GRIN2A",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CEP57","XAF1","TFEC","TMEM144","ARID5B","SNORA68",,,,,"GOLT1B","ABR",,,"ADAMTS12",,,,,,,,"FRAS1","CSF2RA","CCDC102B","STX1A",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NR2F2","CKMT1A","UBE3C","CDH7","PLAU","CMTM3",,,,,"RCBTB1","SRPX",,,"SYK",,,,,,,,"SCN7A","MGC4771","PVRL1","SSTR5",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PFKM","H1F0","ST3GAL1","IL12RB2","FGD4","NFXL1",,,,,"AKAP9","VOPP1",,,"KIAA0040",,,,,,,,"THBD","BMP7","IL5","CLEC4A",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ENDOD1","EXPH5","HIST1H2BC","LOC389023","GDPD1","CYBRD1",,,,,"KPNA6","TBPL1",,,"FUT1",,,,,,,,"KIAA0087","PLAU","LILRP2","CCL22",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DCHS1","ITGB7","NCEH1","PRAC","GPR132","CXCL1",,,,,"NF1","PAQR3",,,"TNIP3",,,,,,,,"SCN10A","MMD","PLAC8","CCT8L2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYTL1","PRSS21","ELK4","KCNN3","DPY19L4","MYOZ2",,,,,"LIMS1","ITGAV",,,"SRI",,,,,,,,"YOD1","INHBA","SERPING1","PTTG2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RMI2","CMTM8","SLC24A3","LRRC34","SYCP2","PPBP",,,,,"SDPR","GOLGA8A",,,"NDUFC2",,,,,,,,"WNT16","CYP27B1","CA5B","TOX3",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KATNB1","TSPAN2","A2M","ZNF488","ARRDC3","OSTM1",,,,,"RLF","TUBB2A",,,"GCLM",,,,,,,,"PRODH","GFAP","ZNF750","ARHGAP24",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLRG2","MOGS","KYNU","CC2D2A","LPXN","RNF19B",,,,,"LIAS","PRPF4B",,,"SPTB",,,,,,,,"LYPD3","KIAA0226L","ZNF391","FAM120C",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PSTPIP2","KATNB1","IER3","FAM203A","TTLL7","MAFF",,,,,"IL1RN","BTG1",,,"GRPR",,,,,,,,"NINJ1","NRP1","PPFIA2","CHST2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ZBED3","BTBD11","CAPRIN2","PCCB","PTPRM","AMN1",,,,,"SMARCA2","FAM63B",,,"OFCC1",,,,,,,,"GP2","KCNA5","ADORA3","SOX17",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C9orf66","IGLL1","CAB39L","FOXP2","ETV1","KYNU",,,,,"ZNF557","DCUN1D2",,,"CYLC2",,,,,,,,"PIK3C2B","GRM1","NEUROD1","BMP2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AKR1A1","OSBPL1A","JUNB","C3orf80","ZNF432","FLJ12120",,,,,"MAOA","UBA3",,,"HMOX1",,,,,,,,"CNGB1","MTMR8","THAP9","SFRP5",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FTSJ1","FPR2","NRAS","RANGRF","SLC7A11","COQ10B",,,,,"PTGES","HSPA2",,,"WDHD1",,,,,,,,"C1QL1","SATB1","KCNB1","SYP",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HHLA2","BDH2","EFNB2","TANC2","DYNC2LI1","GALNT4",,,,,"PCBD1","TMEM50A",,,"G6PD",,,,,,,,"C17orf88","MAGEH1","CRABP1","LOC646649",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C3orf80","POLR2J2","EPAS1","C4orf19","UBE2W","LOC338758",,,,,"OSBPL1A","SCHIP1",,,"OR8H1",,,,,,,,"CTAG2","ITPKA","ZNF702P","FOXL2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CR2","TCEAL8","KLF6","GRB10","ANKRD57","ZNF238",,,,,"KDM4A","RABIF",,,"DEFB1",,,,,,,,"SPATA6","ALPI","C22orf31","FUT5",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TSPAN2","DPAGT1","MGAT4B","PFKM","IFI16","TRAC",,,,,"CCNG2","CD97",,,"UBXN10",,,,,,,,"SLC22A11","MMP17","BTN3A2","CCR10",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PROSER1","MAPKAP1","C12orf44","KRT23","NECAP1","ZMYND17",,,,,"CLN5","TFE3",,,"XYLB",,,,,,,,"MLANA","DIRAS2","THBS3","NACC1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TMEFF1","TMEM143","MAFF","MTG1","CD58","HIST1H2AM",,,,,"FAM164A","SLC2A3",,,"SREBF1",,,,,,,,"SPAG11B","SLIT1","AAAS","HIC1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LPAR3","RMI2","FCRLB","TRAF7","LOC643072","LOC284757",,,,,"MINA","PASK",,,"STXBP5L",,,,,,,,"CHRNG","AMBP","HBZ","MAGEA6",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PPM1H","FONG","KIAA1279","FLJ44635","ZNF407","ZBTB6",,,,,"SPRY2","DUSP3",,,"FXYD7",,,,,,,,"KLF3","LGALS14","SDS","DEFB4A",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C19orf51","BSPRY","WDR20","PYROXD2","ARHGAP42","RIN2",,,,,"PMAIP1","DNAJB6",,,"CSTA",,,,,,,,"ADAMTS9","LIMCH1","ACCN2","NPHS1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DGKZ","AKR1A1","HECW2","SLITRK5","MNS1","KIAA1659",,,,,"C15orf29","ZDHHC6",,,"INADL",,,,,,,,"PGLYRP1","MSMB","MYOM2","MYF6",,,,,,,,,,,,
