"GLI1_UP.V1_UP","E2F1_UP.V1_UP","EGFR_UP.V1_UP","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_UP","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_UP","AKT_UP.V1_UP","MTOR_UP.V1_UP","PIGF_UP.V1_UP","VEGF_A_UP.V1_UP","BCAT_GDS748_UP","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_UP","ATF2_UP.V1_UP","WNT_UP.V1_UP","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_UP","MYC_UP.V1_UP","SRC_UP.V1_UP","CAMP_UP.V1_UP","LTE2_UP.V1_UP","MEK_UP.V1_UP","RAF_UP.V1_UP","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_UP","MTOR_UP.N4.V1_UP","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_UP","EIF4E_UP","IL15_UP.V1_UP","IL2_UP.V1_UP","IL21_UP.V1_UP","PDGF_UP.V1_UP","TGFB_UP.V1_UP","YAP1_UP","SIRNA_EIF4GI_UP","STK33_NOMO_UP","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_UP","TBK1.DF_UP","TBK1.DN.48HRS_UP","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_UP"
,"TYMS","FADS3","RAB5C","CXorf38","NPM1","CHD5","MASP1","ADRM1","LTBP2","IL1R1","BID","STXBP3","CCDC22",,,"LAS1L","NFKBIL1","CYP2E1",,"LOC401034","EMR2","CPLX2","GAS5","KIAA1199","MPZL2","DSC2","EHHADH","AFP","RGS16","CA6","ETNK1","USP6NL","EMID2","DBNDD2","ITIH3","FOXA1","TAF11","JUNB","POLR3G","HOXB2","GPSM2","S100A3",,,"SEPT10","HIST1H2BD","C5orf41","MMP15","TP53I3","GLTPD1",,"PCP4",,"PCP4","KIF5C","IL2RG","LIMCH1","HOXD11","KIF5C","SLC10A2","RAI2"
,"GPN2","CCL22","VEGFB","MT4","NPAS1","GML","CCIN","SLC16A1","FKBP1A","HOXB9","IFIT1","LTBP1","MTMR11",,,"DBNDD1","FGR","VAMP1",,"CCP110","TFB2M","APOA5","GLRX","CGRRF1","ETV5","PEG10","SRY","PCBD1","KYNU","LCP1","CNIH4","IL23A","C6orf105","MYO6","NRL","PRICKLE1","FAM117A","FAM57A","SLC29A2","LOC644963","BICD2","STC1",,,"IL1R2","IRF9","ICAM1","ST3GAL6","RAC2","OPN3",,"NAP1L2",,"NAP1L2","SLC25A31","CASS4","ESRRG","CD48","SLC25A31","FEZ1","ZFPM2"
,"GATA6","PGM3","MSX2","RIMKLB","MRPL18","DAGLA","PAX2","MOB1B","TPM2","PAK1","HSD17B13","NECAP1","FBP2",,,"PRSS16","HOXD11","REG1B",,"UGT8","SLC29A4","LELP1","WDR24","CYFIP2","TIMP2","LAIR2","ACTL8","CHST11","TUBA4A","ANXA2P3","FKBP11","SHCBP1L","CEACAM21","HMGA2","LEF1","CYBA",,"IL1A","ASPA","KIF21B","NDUFS1","EDN1",,,"ARL4C","HIST1H4H","IFI16","LOC651803","LGALS3BP","EXTL2",,"ANPEP",,"ANPEP","NELL2","CEACAM1","DUSP6","EVI2A","NELL2","MEGF8","KCNJ12"
,"AURKB","SLC4A7","PTPRU","NUP107","POLRMT","FABP7","GCHFR","KIAA0020","C19orf48","MICU1","C4orf49","SYNE2","CLIP2",,,"USP9Y","TCIRG1","MTF1",,"CHST1","CAMKMT","MBD3L1","CHAF1A","TNS3","RAI14","MPZL2","NUPL1","ORAI3","PRSS3","GAD2","COQ2","GRM5","PCTP","GRINA","GPRC5B","SAMD8",,"HOXC8","SPHK1","CYP27A1","JOSD1","PRG2",,,"CXCL6","N4BP2L2-IT1","ZCCHC14","PRKG2","BMPR2","PIP4K2C",,"MMP1",,"MMP1","SLCO5A1","SPRY2","RAPGEF4","SLC6A4","SLCO5A1","PLLP","DNAJC6"
,"ADA","KRT7","SEPT10","CYP2C8","CCR2","BAI2","GUCA2B","ELK3","TCEB1","SGSM3","ADORA2B","NAP1L3","FEV",,,"PNLIP","PCDHA9","STRN4",,"RTN4R","ALG3","MED10","HAX1","ORAI3","CAPN5","LAMC1","PLEKHF1","RFPL2","EPHB2","OR7A10","TFPT","ZNF91","FSCN3","DSP","CBWD1","PRSS8",,"REEP2","LRRC6","ECM1","THOC2","CD163",,,"LOC643424","TLR6","DUSP8","HSF1","CUX2","DNAJC17",,"FNDC8",,"FNDC8","TRAF1","CEACAM3","FZD3","MYH2","TRAF1","ANKRD34C","LPL"
,"RBM15","IFIT3","CAPN5","OXSM","CDCA7","SNCG","MED12","C8orf76","MAPRE1","SEC14L2","DFNA5","PPID","KCNMB1",,,"PSTPIP1","DTL","RAD9A",,"ARRDC2","SORD","FNDC8","AAAS","POLE2","AKR1C2","L1CAM","S100P","GATA1","ST6GAL1","CBL","ISOC2","KLRB1","FGFRL1","RAB33B","SLC29A4","SEPP1",,"DUSP4","MEGF6","XPNPEP2","FAM3C","HTR1D",,,"BCL6","TMEM107","APPL2","MAN1C1","SERPINE1","SLC38A6",,"RCAN2",,"RCAN2","TAAR5","TFPI","RELN","SMPX","TAAR5","JAM2","ADAM19"
,"MFI2","TUBB2A","EDN1","ANLN","UFD1L","ABCC8","NCSTN","DSP","NUDC","VAT1","ERN1","ITSN2","DDIT4",,,"MCART1","HOXB1","KCNC3",,"PCNA","DCAF4","POU3F2","AHCYL1","FAM117A","NPC2","ANKMY2","CLEC4E","AVL9","YRDC","SERPINB2","E2F5","GARNL3","ZFPM2","KLB","GPD1","BVES",,"LLGL2","DHRS3","CHI3L1","MYL2","JMJD1C",,,"KBTBD8","LFNG","KCNJ2","SLC6A6","PITPNC1","SNAP23",,"DNM3",,"DNM3","GABRA3","IL1B","NRXN1","RNASE1","GABRA3","IL1RL2","CDKN2A"
,"UBE2T","FNDC3B","PPAP2C","CD276","ATAD2B","CHRD","MSN","PHF20L1","SLC25A11","RIMKLB","SELRC1","CFH","C21orf2",,,"ABCD2","FGFBP1","FICD",,"ZFP30","ANO2","CLIP3","LOC595101","ABCG2","TRIM29","MTMR11","NR1I2","SATB1","KIR2DL4","ITGB1BP3","GALK2","RNF125","SOX15","SLC22A23","PMFBP1","ANKS1A",,"MAF","PTPN7","IBSP","PEX11A","DLC1",,,"EMP1","RHOC","MORN2","CAMK1G","DLGAP4","TMEM45A",,"SLC6A15",,"SLC6A15","CCR6","OCA2","TUBB4A","KCNA5","CCR6","KLRG1","HSPA1A"
,"DFNA5","IL1R1","PTOV1","ARL5A","LOXL2","GNG12","SMTN","DCBLD1","RRM2","HIST1H2BD","H6PD","BAZ2B","FMO4",,,"PSPN","SAG","CCR8",,"HEY2","LOC645030","TMEM11","TOMM40L","ATP6V1H","NT5DC2","CORO1A","PTPN7","CSHL1","CRCT1","LOC646089","MRPL39","CCDC71","CDH3","AMN","TMEM186","GATS",,"IRF2BP1","CNKSR2","CBL","RNF4","DYRK2",,,"OTUD1","TTC30B","CNIH3","SLC2A4","GATA6","LAPTM4A",,"SORL1",,"SORL1","C11orf41","CYB5R2","TRIB2","PPP1R14D","C11orf41","CHRNA3","DENND1C"
,"CNOT7","TBC1D8","FAM46C","SRSF1","NPTX1","NPY","PPY","C12orf44","RAD18","DUSP10","TARS2","MARK2","MTSS1",,,"UNG","ALX3","KIFC1",,"MICB","RPTOR","FBLN2","SMYD5","TBC1D8","PCDH1","PGM1","SLC6A15","MPDZ","COL4A5","ERO1L","PFKM","CRYGB","IL36RN","SPOCK1","IRX2","BBX",,"RAB11FIP1","YRDC","HABP4","NBAS","RAPGEF2",,,"PPP3R1","ZNF117","ZFP36L1","SLAMF1","ANKRD46","USP10",,"LOC147343",,"LOC147343","CLPS","PDE3B","GRIK2","NKX2-5","CLPS","C6orf103","MAOB"
,"PARP1","KCNS3","ABCC3","PLCG2","SPOP","CBX5","FSHR","SPRY2","LYAR","TOR3A","CTRB1","CEP350","ISG20",,,"GSG1","PTGER1","THRB",,"ANKRD18A","KLRG2","LOC126536","CEP250","EPS8L1","EPHX1","LOC401034","CDK6","SCG2","TRAF3IP1","ALDH1A3","GK3P","OVGP1","PDK4","RGL3","PSMB9","LCP1",,"PMM2","USH2A","TEAD3","RANBP6","ATF3",,,"NKIRAS1","THAP1","C4orf34","C22orf43","CDKN2B","IQCK",,"DEFB4A",,"DEFB4A","SNAP91","PPP1R15A","KCNA5","SARM1","SNAP91","PCDHA2","FLNC"
,"SHBG","HK2","ACHE","TSHB","CLIP4","CLDN14","HIST1H3B","PXN","CCND3","IDI1","KIAA1967","MKLN1","BMP8A",,,"CCDC94","NEUROG1","GPR97",,"PLXND1","OR7C1","FNDC4","AZIN1","ULBP2","BCL3","KCNN4","TSPAN7","DKFZP564C152","SLC16A8","PPFIA4","FAM129A","AK5","HIVEP3","P2RX4","SLC16A3","ARHGEF16",,"AHR","C10orf2","RSAD2","ATP6V0A2","KLF4",,,"ZNF222","CYBRD1","STAM2","REST","FAR2","RAB4B",,"ITGBL1",,"ITGBL1","TTC22","AKAP12","NMNAT2","DCBLD2","TTC22","FOXF2","CD302"
,"ARF3","GBP2","CA8","STRN3","CD5","COL5A2","ADRA2B","PTGS2","NKX2-1","RIPK3","CCL5","SOCS5","TRAF5",,,"DIRAS3","PAFAH1B3","TCF3",,"TIAM1","TSFM","HDLBP","TMEM116","KIF13B","ITGB4","ACOX1","TMEM187","CA6","HS3ST3A1","TAS2R13","NFIL3","CD27","HMX2","CD55","CA4","FBXL20",,"HS3ST1","TNFRSF21","FAT2","CDC6","TULP4",,,"LRRC25","PRKY","MTSS1","SPP1","DKK1","TGFA",,"LOC202181",,"LOC202181","OSGIN1","LYL1","GPR19","GPR3","OSGIN1","LRRC15","DKK1"
,"CSTF2","BCL3","ABCG1","FEN1","PSME4","PDE2A","DRD5","SLC28A1","POLE3","MFSD4","TIPIN","LARP4","RAB40AL",,,"GNA14","PLCB4","HES5",,"KHDRBS3","LRRC61","TMUB1","NDEL1","EHD3","BMP7","PTPLA","FPR3","RABGAP1L","ATF6","MT4","SLC7A5","TACR3","C14orf132","LAMA1","PTPN23","STX2",,"PTGER3","IRS1","DNASE1L2","HDLBP","SMURF2",,,"NUAK1","TRIM23","C10orf46","ST8SIA2","DDB2","MYBL1",,"MAP4K1",,"MAP4K1","ADAMTS6","SPON2","PECAM1","PDCD1LG2","ADAMTS6","TEX12","PLEKHF1"
,"PIGA","CRISPLD2","DBNDD2","DIO1","IVNS1ABP","C2orf72","NKG7","ILF2","SLC16A5","GIPC1","TRMT5","AHCYL2","SH3BP2",,,"GRHL2","MELK","CD96",,"EPB41L3","NOP14","AAAS","C1orf123","ACOX2","EDN1","DUSP4","ERAP2","MRS2","SRD5A1","PRKY","ARL3","PAK1IP1","WBSCR27","IGF2","EPB41","ARFGAP3",,"L1TD1","TNFSF14","DIRAS3","SEPT10","SMTN",,,"BBS12","RTN1","FCHO2","C3AR1","CHRNA5","EIF2C3",,"GABRA1",,"GABRA1","GRP","KCNJ16","CPE","ASGR2","GRP","SV2C","PTPRN2"
,"BUB1","EDN1","FGFR4","SNAPC2","MPHOSPH10","GPR31","HOXC5","D4S234E","DIAPH3","EDN1","IFI30","STAM2","KCNC3",,,"CXCL1","SCUBE3","PPYR1",,"NPTX1","PCDHB18","MMP16","ANKHD1-EIF4EBP3","INSIG2","TUBB2A","NAV2","ZNF117","BAZ2B","ORAI2","PLEK2","CDK16","KIF17","GZMA","CYR61","WIPF1","NUDT11",,"SH2D4A","ADAM19","ROR2","URB2","C13orf15",,,"ZMYND11","GPR34","TNFSF15","CELA2B","G6PD","RABGEF1",,"DDX6",,"DDX6","CD37","RBMY2FP","KIT","ALLC","CD37","ENG","KCNG1"
,"TAF9","SQRDL","MPZL2","HDGFL1","PLK2","OLFML2A","FHL2","AMMECR1L","YIPF3","GOT1","GCH1","MAST2","ECM1",,,"F9","PRKCD","ENTPD2",,"NPAS1","MMP25","EMID2","PRIM1","GTDC1","PCDH9","ABCC4","MDFI","CBR4","KCNA2","SCG5","C8B","IL8","C10orf35","RHOU","CLEC11A","FAM134B",,"SPINT1","C11orf80","SLC28A2","SERINC1","SLC7A6",,,"TTC30B","MAP2","GPR65","HIST1H2BB","HRSP12","PLAUR",,"LRCH1",,"LRCH1","NPPB","PRB4","CRYM","WNT7A","NPPB","ANP32C","TM4SF5"
,"BCL2","RHOQ","TTC9","SNORD22","FANCC","ADRA1B","SMOX","NT5E","MBL2","ST6GALNAC6","OBFC2A","IL1RL1","KANK3",,,"EPX","IGF2","DTNB",,"SAMD1","SCFD2","SOCS1","ILF2","PRPS1","GOLM1","FGF1","ADCY8","TNFRSF11A","CCR3","POMT2","ASCC1","PIGV","KRT13","LAMB1","ATP8B2","SMPD2",,"HS3ST3B1","TBC1D9","ZC3H12A","CAPZA2","NDST1",,,"GFPT1","ADORA3","UNK","AFP","HSD17B2","KIAA0415",,"CDK5R1",,"CDK5R1","AKT2","BIRC3","C7orf63","IKZF1","AKT2","LOC440334","FADS1"
,"VPREB3","TGFB2","TBC1D8","CSF1","MBD2","PART1","MALL","SRP72","ILF2","VILL","NQO2","DCP2","LOC650845",,,"APAF1","OR10C1","CLDN6",,"CHRDL2","LOC100289019","DNAJC22","CCL5","GSTZ1","SIX2","HEG1","GRIN2C","ELF1","OPA3","ATXN1","CCDC86","WNT16","KRTAP13-1","TFF3","LIPF","RAMP2",,"C10orf2","MAGIX","UGT8","ARHGEF15","LYPD1",,,"LY6K","SETBP1","ABHD2","SLC26A4","CBR4","RGS3",,"APOBEC3G",,"APOBEC3G","HAS2","LOC646649","OCLM","AKT2","HAS2","KREMEN2","CXCR4"
,"RHBDL3","SEPT10","RRAGD","UBE2T","EIF2A","MLL","HTR6","UFM1","PRMT5","KCNQ1","COQ4","DMTF1","DSG2",,,"LOC647070","PODXL","UGT8",,"ATRNL1","CALML4","PRPS1L1","LIMS1","SECISBP2L","PACS1","CEBPD","HIST1H3I","SLC28A1","LOC155060","FCN2","RPAP1","CLN6","THRA","S100A1","ARHGEF16","C4orf34",,"RRP7B","AP3M2","BMP10","ACOT11","JUN",,,"DENND1B","C13orf15","RASGRP3","ABCG5","GCH1","ANPEP",,"CRISP1",,"CRISP1","CEACAM3","COL9A1","GABRA5","MMP20","CEACAM3","ARHGAP24","C14orf132"
,"HMGB3","SEC23A","WIPI1","SLC35E1","ABCE1","HLA-DRB6","NFE2","HPCAL1","MT1F","SAA4","HMOX1","PGAP1","MYO1F",,,"GPR63","NME3","CLDN8",,"DCLRE1B","QTRT1","VWA3B","CLPTM1","ALDH4A1","ACSL1","ETV5","PAIP2B","ZNHIT2","NES","LOC390940","TSC22D3","SNX17","SEMA4G","CAPN6","STIM1","BMP2",,"TET3","RHBDF2","CDH5","SERPINI1","ADAM22",,,"KMO","MFAP3L","GPATCH2","GCKR","PDPN","NETO2",,"ERC2",,"ERC2","A2M","ANKRD36BP2","LOC147343","HTR7","A2M","IFNA7","FN1"
,"FMNL3","BACE2","CXADR","KRTAP6-3","MATR3","GAPDHS","INTS9","DDIT4L","C13orf27","ROPN1L","HTT","LPCAT4","FPGS",,,"COQ4","ANKRD11","KCNK4",,"EGR2","WDR4","GP2","AKAP6","GBAS","RAB5C","PSMB9","LRRC8B","PTGDS","PAQR5","PRKG2","EIF2B3","LRFN3","APOC4","CTGF","PKDREJ","TINAGL1",,"PUS7","SH2D4A","MYH4","NDRG4","TLE3",,,"SPRED1","SQSTM1","HBEGF","DEFA5","FADS2","SLC30A1",,"RRAGD",,"RRAGD","C1orf114","OSGIN1","SLC12A3","SLC16A8","C1orf114","MLXIPL","TMEM47"
,"POLA2","SAT1","MALL","SHC1","NXF1","FAM50A","RAB31","MNAT1","NMB","HIC2","TPH1","TDRD3","LHX2",,,"C8orf51","HMX1","CLEC16A",,"FAM158A","WDR83","TRIM15","MDH2","RLN2","PDLIM7","GABBR2","DPEP1","GPR116","TMC7","TRIM58","ACACA","TSKS","FMNL3","UNC5B","MLLT1","RNF128",,"ELMO3","HTR4","LEPREL2","TGIF2","SOCS6",,,"GNPDA2","TRIB1","WDR19","AKT2","TIMP4","GTF2E1",,"EFCAB6",,"EFCAB6","IGFBP3","FAM30A","SCG5","CRYAA","IGFBP3","CFHR2","CHST2"
,"USF2","GABBR2","GRAMD3","REG1A","NUSAP1","BASP1","TAGLN","SOX9","ZWINT","FXR2","KIF9","BCLAF1","CAMP",,,"CUBN","RBP1","MYO5B",,"NUDT22","PRMT3","DCLRE1A","VAMP4","P4HA2","GDF15","NMI","DMD","NPVF","CDCP1","FGF6","RABEPK","MYCT1","ALX3","P4HA1","IFNA2","ZNF521",,"ZNF276","RAB11FIP1","MC3R","PAF1","RUSC2",,,"GPNMB","ZBTB6","CREB5","XPNPEP2","PPP2R3B","DMTF1",,"CLUL1",,"CLUL1","PRY","S100A5","RNLS","BCL2A1","PRY","POPDC2","KCNN4"
,"PARP16","APOBEC3B","LMO3","LATS1","PTCD3","PLEKHA6","PCDHGA12","PTP4A1","LMNB2","SOCS6","ATXN7L1","TRIP11","C3orf37",,,"SEMA5A","FGF20","DNAJB13",,"FEN1","C5orf46","FBXO44","IST1","EFCAB11","ST6GALNAC2","MAP3K5","ZNF91","CACNA2D3","APOF","KCNN4","PANK3","INO80B","A4GALT","GPC3","SOX11","RIPK4",,"DUSP2","PPP4R4","NR1H3","PSMC6","WNT3",,,"C20orf194","APPL2","HIST1H2AC","HGFAC","ADAM8","SAA1",,"RETN",,"RETN","RMST","FAM155B","GHRH","BANK1","RMST","SLC7A4","ZNF134"
,"RDH13","IQCG","SLC9A6","RNF103","LIG1","TMSB4Y","WT1-AS","HMGA1","CLSPN","TJP3","FNDC7","ACADM","CCS",,,"BAALC","STEAP1B","SYT3",,"L3MBTL3","CDCA7L","SLC22A6","RHOT2","TK1","PTPRU","PER3","TNNI3K","ADRA1B","SLC35D2","ZNF208","TRAF3IP2","RPRM","NAGS","NAGA","TCEAL1","KIAA0930",,"TNFRSF21","BTC","ABCB11","ETS2","UBL3",,,"FOS","ZNF254","ABCA1","IL26","LRP8","CCDC109B",,"GABRA3",,"GABRA3","TFDP3","STX1A","SCN2A","PAX4","TFDP3","OR10J1","PLEKHO1"
,"ITSN1","C8orf4","DRAM1","TIA1","SMC2","MPPED1","GOT1","CTPS","CCDC34","DNAJB13","IL18RAP","PEX1","ALDOB",,,"OR10C1","AMELY","DHCR24",,"LIN7B","TAF4B","ABTB1","LRR1","APPL2","CRLF1","ACSL4","ZSWIM1","IL1RL1","DUSP8","TNFRSF1B","GRM2","ACP5","FGF14","PLXNB2","DLC1","ARF5",,"C19orf73","AMIGO2","SST","EXOSC10","NGF",,,"IL1R1","FAM20C","FCAMR","DUSP9","FAM168A","C1GALT1C1",,"ZP4",,"ZP4","RBMXL2","NRL","MMP27","OR2B6","RBMXL2","IDI2-AS1","CRABP2"
,"ERCC2","IL15RA","PPP1R3C","LOC645638","PCNT","GREB1","FAM189A2","TDG","EIF5A","PDGFD","SP100","TDG","PPL",,,"RGS11","CD3D","NF1",,"POLE2","HLF","BCRP3","MAGED1","SLC12A2","FGB","CCR1","CLDN3","MS4A4A","FPR3","LCE2B","ZNF259","USF2","P2RX4","PTPN21","LPP-AS2","PLOD2",,"SOCS1","CCR4","VSNL1","RNF14","CTGF",,,"TRIM23","LOC100505968","BBS12","BTG4","ACADVL","TUBBP5",,"SCN2A",,"SCN2A","PDCD1LG2","WDR96","NOL4","CG030","PDCD1LG2","FABP3","PRPS1"
,"LPIN2","SOD2","C1orf115","MRPL9","CLCN5","NKX2-8","GNL1","VTA1","GYS1","PACSIN3","CMA1","NEK7","CLCN6",,,"MPZ","LIG1","CD74",,"NR2F1","ICAM5","TTC21A","MRRF","ANKMY2","RAB8B","AAK1","GALNT3","ASB4","GMIP","CCDC87","DSCR4","BMX","ATP5S","LOXL2","CSN1S2BP","HEY1",,"KIF21B","KCTD12","DPYSL4","ELP4","JMJD6",,,"CRK","IL1A","GDF15","ZNF257","SLC4A7","KIAA0355",,"TRIB2",,"TRIB2","PRL","SNAP25","MAFB","NES","PRL","FGA","TRPV2"
,"NOLC1","PAPSS2","SH3GLB2","VPS4B","TARDBP","ITGAE","HK3","F3","HAUS2","PPP1R3F","PCDHB5","UGP2","ZCCHC24",,,"CLCN2","ASPN","LRG1",,"RAB26","MNT","FLJ44054","CPEB4","PROS1","EPHA1","TMSB15B","EIF2C4","RBM47","TNFAIP6","GATA1","DDN","PRRG4","NAAA","ATF3","CACNG3","PLAGL1",,"ZNF205","DUSP4","NKG7","MRPS11","T",,,"LOC389023","GPR183","UPP1","CCL11","ING2","RPL23AP7",,"SLCO5A1",,"SLCO5A1","GYPC","SPACA1","EPB41L3","SLCO4A1","GYPC","KHDC1","MFAP2"
,"SLC7A1","EIF2C2","ZNF365","FOSL1","INCENP","COL6A1","KIR2DL3","ZNF800","IMP4","SPECC1","SERPINA3","RCBTB2","GDF11",,,"S100A9","INPP4B","PLA2G6",,"TIFA","LOC439962","NPC1L1","DPM2","SCARA3","LAMC1","FERMT2","PTCH2","HIC2","ERAP2","CHST11","CHUK","CD1B","FAM116A","ADAM10","TMCO4","GAS1",,"APOBR","KCNK5","MYOZ3","MOB1A","MKL1",,,"STAM2","MORN2","IRF9","MCF2L","ARHGEF3","DLG3",,"GPR19",,"GPR19","LILRA6","CXCL2","TMEM100","LAG3","LILRA6","NBEA","EMP3"
,"TFAM","ANGPTL4","PPAP2A","LUC7L2","MDN1","COPG2","SGCA","NUP54","MYH1","LDLR","PCNA","RNF6","ZC3H7B",,,"ARNTL","REEP2","MAST2",,"PIN1","SHISA9","ANGPTL6","SRPK1","EPHX1","CORO1A","NR4A3","TNFAIP3","HIVEP2","COL10A1","THNSL2","LIMA1","RNASEL","BMP7","HNF4A","PCP4","HNF1B",,"FOS","PAK6","GNAL","INHBA","SEC14L2",,,"CXCL1","ADAM28","GAN","NGF","DPYD","IL8",,"EMID2",,"EMID2","FAM174B","NDUFA4L2","ASPA","ZNF821","FAM174B","PTPN7","TREML2"
,"RND2","BMP7","FER1L4","MAN1A1","LUC7L3","NAT9","PDE2A","POLE3","EIF3B","AKAP2","TMEM106A","NRCAM","CD5",,,"CST5","ADAM28","PDC",,"DTL","VWA3B","AIM2","TFPI2","PTGER4","NT5C2","ABCC3","KRT1","IL13RA2","LUZP4","PTCD2","DNMT3B","COBL","FLT3","MYL3","BBX","KRT7",,"C17orf88","SLC34A1","TLR3","ARR3","CAPRIN2",,,"COQ10B","GPR135","LCOR","EGF","MVP","GALNT10",,"ASTN1",,"ASTN1","MGLL","IL13RA2","DLGAP2","DOCK2","MGLL","PLCH2","S100A4"
,"UQCC","PSMB10","GDF15","INTS7","TOP2B","HSPB6","ETV4","DHX33","MTHFD1","SGPL1","BDH1","DNASE2","PIN4",,,"CHML","ZFR2","SETD6",,"PDIA2","B3GNTL1","TTC25","KIAA1310","AKAP12","DBNDD1","NPL","ZNF423","DKK2","ATXN1","NUPL1","DBN1","CNGB3","LHX3","PCBD1","SLC5A11","DCXR",,"KANK3","SOCS1","LEFTY1","CCL25","SCHIP1",,,"SETBP1","OLR1","HINT3","PAGE4","TUBG2","CNNM4",,"TOX3",,"TOX3","MKRN3","RMST","MAGEH1","PCDH17","MKRN3","SYNPO2","PTGDS"
,"CRYZ","P2RY6","LRP5","PROL1","CXorf26","PRKCG","CD1A","TMEM2","RPF2","TRAF4","TCF19","MAGOH","HOXB5",,,"SYNGR3","LOC646372","DBP",,"CDC20B","APOA4","CRTAC1","ALDOA","DEGS1","GPX2","TBC1D2","TOR1AIP2","TAF11","KLK7","LOC147343","SARS","LINC00341","TMEM106C","LXN","LRIG1","GATAD2B",,"OR7E47P","KCNG1","GRIN2A","PPP1R12B","C6orf145",,,"KDELR3","DAAM1","DAPK1","GPR6","PLAT","EIF4B",,"DBH",,"DBH","TSPAN1","STC1","COPG2","NRP1","TSPAN1","PRO2964","FGF9"
,"MASP1","MEIS3P1","C8orf55","TRAIP","MRTO4","GPR182","WNT10B","RGMB","CYP4B1","KLF6","GABRG2","HIST1H2BM","FCGR2B",,,"PLAU","SPRR2C","LTB4R",,"C20orf112","CGREF1","BMF","WWP1","CALML5","C1orf115","PTER","TTLL4","CLIP1","CLEC4E","SLC39A2","COX10","KIAA1107","PPAP2B","PRICKLE1","TEX9","FZD8",,"TIMM50","NCS1","MGC4294","NDUFAF1","HAB1",,,"C15orf60","FLJ12120","PPCS","NAG18","CBLC","CLDN4",,"ATXN3L",,"ATXN3L","TSPY1","TAPT1","SLC6A1","DOCK4","TSPY1","CBX4","CST7"
,"BOLA3","LRRC16A","PDE4D","DARS","FOXA1","GNAT1","ADRA2A","HECTD2","ACTL6A","UNC5B","FAM134C","CPD","NFKBIE",,,"RELN","C1QTNF9B-AS1","CRMP1",,"GINS1","PRAP1","STAB2","NRSN2","STAU2","GCNT1","CDK18","PELI2","PTPRT","PTHLH","POLM","TTC35","IL2RA","C10orf82","LPAR3","ZPBP","PDZRN3",,"ADAM19","HABP4","CXCL12","CBX2","NFATC4",,,"RASGRP3","UNK","BTBD7","DKFZP434C153","ALDH1A3","NFKB1",,"HIST1H2BO",,"HIST1H2BO","SEMA3B","ANO2","GLDC","NDNF","SEMA3B","CDH4","ARID3B"
,"HSPB2","ATF3","CAST","MBL2","MIOS","ATG13","OPRD1","TNFRSF12A","CBFB","SNHG11","ADRA2B","HIF1A","MATN2",,,"BARX1","CCDC94","KDELR2",,"TAF5","DGKD","BCL2","PCMTD1","UNC13B","CHKA","TBC1D8","CHD7","WDR33","ANPEP","ZNF550","GPRC5C","DNAJC28","C9orf21","RAB11FIP5","PURB","GSC",,"PER2","LOC96610","PLA2G7","OR2B6","ZNF654",,,"FCHO2","HINT3","HBP1","DYNC1I1","IFI27","RUNX1",,"WNT7A",,"WNT7A","BIRC3","TNFAIP3","GAP43","LILRB1","BIRC3","IL10RA","GPR64"
,"C4orf27","GK","MYO1D","PARG","PVRL2","ICOS","C11orf41","UAP1","DNAJB11","NEU1","CAPN12","GMFB","SPOCK3",,,"ADRB2","TBC1D29","FXYD3",,"LMO2","FOXRED2","OR1F1","SNW1","CDKN3","CAMK2N1","PLS3","GADD45G","SCN10A","CDADC1","CYP1B1","NUP155","ITGA8","C19orf66","DAZL","B4GALNT2","PDLIM3",,"KRT13","ZNF215","RDH5","UTP3","ITGA5",,,"LOC390940","NCF2","KIAA1107","MAGEB1","TBC1D8","TNFAIP8",,"HAS2",,"HAS2","CATR1","WNT16","SERPINI1","TSPY1","CATR1","MYOC","MAP1B"
